Author,Year,DOI,Plant.sp,Assoc.sp,Intxn.type,Assoc.type,Pop1,Pop2,Plant.Fst,Assoc.Fst,Geog.dist.km,Entry.by,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,JoshuaTree,JoshuaTree,0,0,0,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,JoshuaTree,FreemontPk,0.07214,0.089431,122.52728,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,FreemontPk,FreemontPk,0,0,0,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,JoshuaTree,KramerHills,0.045702,0.000556,148.468051,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,FreemontPk,KramerHills,0.063387,0.10082,74.2196274,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,KramerHills,KramerHills,0,0,0,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,JoshuaTree,Trona,0.035452,0.03695,198.030595,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,FreemontPk,Trona,0.082011,0.132557,138.285367,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,KramerHills,Trona,0.052108,0.018031,64.4217686,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,Trona,Trona,0,0,0,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,JoshuaTree,EurekaValley,0.076614,0.010893,391.081017,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,FreemontPk,EurekaValley,0.121226,0.099229,351.218094,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,KramerHills,EurekaValley,0.064396,0.064341,277.350719,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,Trona,EurekaValley,0.091743,0.061379,212.977461,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,EurekaValley,EurekaValley,0,0,0,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,JoshuaTree,GoldPoint,0.073223,0.04685,374.957194,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,FreemontPk,GoldPoint,0.115563,0.129167,347.777038,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,KramerHills,GoldPoint,0.058502,0.065774,273.597722,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,Trona,GoldPoint,0.069991,0.104936,210.545918,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,EurekaValley,GoldPoint,0.033255,0.019471,40.582759,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,GoldPoint,GoldPoint,0,0,0,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,JoshuaTree,ClaytonValley,0.070014,0.067726,409.061457,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,FreemontPk,ClaytonValley,0.122419,0.156627,373.269811,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,KramerHills,ClaytonValley,0.092084,0.06197,299.210638,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,Trona,ClaytonValley,0.084305,0.055652,234.991291,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,EurekaValley,ClaytonValley,0.06733,0.046774,24.2241869,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,GoldPoint,ClaytonValley,0.049089,0.109589,40.6949931,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,ClaytonValley,ClaytonValley,0,0,0,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,JoshuaTree,MontezumaPk,0.089373,0.043139,413.284951,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,FreemontPk,MontezumaPk,0.168449,0.169729,390.643917,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,KramerHills,MontezumaPk,0.100157,0.026259,316.539964,jby,
