From	To	Gdist
AZJC	COAR	628.766404222808
AZJC	COBTSV	781.039710035109
COAR	COBTSV	175.766695153484
AZJC	COSM	457.955166318107
COAR	COSM	185.775181597854
COBTSV	COSM	323.148769776652
AZJC	NMRP	522.475810553603
COAR	NMRP	285.140688592224
COBTSV	NMRP	453.141328937661
COSM	NMRP	297.258529467418
AZJC	NMRR	545.566353542507
COAR	NMRR	227.354775441509
COBTSV	NMRR	393.877159235503
COSM	NMRR	262.227794740643
NMRP	NMRR	59.4071123794194
AZJC	UTIC	388.428631889491
COAR	UTIC	314.054209279185
COBTSV	UTIC	422.91928264252
COSM	UTIC	135.192737410326
NMRP	UTIC	405.798109512976
NMRR	UTIC	381.943052211873
AZJC	UTSC	564.027630024439
COAR	UTSC	505.0098012588
COBTSV	UTSC	528.095463705207
COSM	UTSC	378.935147727461
NMRP	UTSC	673.1025716826
NMRR	UTSC	641.130297082216
UTIC	UTSC	275.092405323045
AZJC	UTWR	703.383108000675
COAR	UTWR	537.065760303513
COBTSV	UTWR	512.166700565337
COSM	UTWR	454.225507114507
NMRP	UTWR	750.595992665371
NMRR	UTWR	710.331617707125
UTIC	UTWR	380.475068367064
UTSC	UTWR	142.203418303433
AZJC	WYSR	946.650388151484
COAR	WYSR	646.039594026488
COBTSV	WYSR	550.504741332093
COSM	WYSR	628.814886958101
NMRP	WYSR	906.707639429537
NMRR	WYSR	856.856756675412
UTIC	WYSR	593.705493094603
UTSC	WYSR	392.696783730233
UTWR	WYSR	251.052836090557
