From	To	Fst.plant	Fst.assoc	Gdist
AIL	AV	0.578493	0.034062	511.535421387056
AIL	BLU	0.672609	0	31.4862229617746
AV	BLU	0.470351	0.013228	541.796456316646
AIL	BR	0.449024	0	164.166062710214
AV	BR	0.329836	0.091479	461.180728276498
BLU	BR	0.335413	0.053059	172.621597506807
AIL	BUF	0.892724	0	225.098435618423
AV	BUF	0.730622	0.032026	338.906641064405
BLU	BUF	0.799463	0	247.464869277386
BR	BUF	0.651811	0	122.689904611502
AIL	COB	0.527519	0.019875	289.155077054141
AV	COB	0.370077	0.142482	449.373277772348
BLU	COB	0.424126	0.094216	297.528368670181
BR	COB	0.15876	0	125.241773213053
BUF	COB	0.702496	0.010097	147.02988239036
AIL	COO	0.44385	0.093082	189.559699848566
AV	COO	0.293206	0.049935	504.890868165659
BLU	COO	0.320665	0.019405	190.074523560924
BR	COO	0.042401	0.166054	50.3723683936255
BUF	COO	0.624852	0.101023	166.342376845632
COB	COO	0.172675	0.193093	119.590314443609
AIL	DE	0.712805	0.041524	732.767058822101
AV	DE	0.458425	0	222.513449504904
BLU	DE	0.575934	0	763.319808563002
BR	DE	0.441828	0.103141	680.845292540919
BUF	DE	0.824199	0.033312	558.159216110802
COB	DE	0.514133	0.134284	655.549269189782
COO	DE	0.409999	0	722.705066204142
AIL	DUN	0.423062	0	127.066590511472
AV	DUN	0.29935	0.037707	431.306268262763
BLU	DUN	0.326463	0	144.713189298351
BR	DUN	0.084613	0.027502	58.5508009781049
BUF	DUN	0.588621	0	106.480144866206
COB	DUN	0.184551	0.058636	170.593320105032
COO	DUN	0.085621	0.038588	106.391860609959
DE	DUN	0.402358	0.000167	653.328319022735
AIL	FOR	0.358454	0	43.6247525987606
AV	FOR	0.261393	0.02987	542.876290394496
BLU	FOR	0.265023	0	40.1978452574592
BR	FOR	0.006997	0	206.208864357084
BUF	FOR	0.544483	0	267.512545696518
COB	FOR	0.119206	0.016276	331.433350347068
COO	FOR	0.029506	0.098475	227.878411476934
DE	FOR	0.374122	0.033757	762.653809600812
DUN	FOR	0.06394	0	170.689235461885
AIL	GA	0	0	124.472921131624
AV	GA	0	0.036697	503.539972753024
BLU	GA	0	0	125.245634944798
BR	GA	0	0	56.5352723698619
BUF	GA	0	0	170.065604050064
COB	GA	0	0.014229	175.365379572766
COO	GA	0	0.09219	65.3124228971006
DE	GA	0	0.036888	724.995410851177
DUN	GA	0	0	74.0764991758475
FOR	GA	0	0	162.615949216386
AIL	GIL	0.567611	0	196.259648339261
AV	GIL	0.422272	0	503.199764918933
BLU	GIL	0.466111	0	197.130550252194
BR	GIL	0.154603	0	52.6466656358239
BUF	GIL	0.763175	0	165.135581755159
COB	GIL	0.261397	0.031385	112.812466428976
COO	GIL	0.167593	0.04589	7.23869340187488
DE	GIL	0.549382	0	720.473080805268
DUN	GIL	0.226699	0	109.954769989069
FOR	GIL	0.151528	0	234.813789589445
GA	GIL	0	0	72.2027389258977
AIL	GOD	0.411959	0	70.7270077021883
AV	GOD	0.262769	0.055969	569.005715921552
BLU	GOD	0.302489	0.005277	42.9690688796671
BR	GOD	0.061765	0	165.852411527364
BUF	GOD	0.585041	0	259.129613917237
COB	GOD	0.151776	0	286.795310723341
COO	GOD	0.0785	0.137694	171.803023439691
DE	GOD	0.364441	0.060252	791.302435530897
DUN	GOD	0.107042	0	152.779092601804
FOR	GOD	0.04004	0	78.8794735524615
GA	GOD	0	0	111.535161351632
GIL	GOD	0.182997	0	179.041066845862
AIL	HL	0.606513	0.062817	691.34912076737
AV	HL	0.384046	0.049738	181.795675182244
BLU	HL	0.564764	0.011749	721.948759312655
BR	HL	0.428072	0.140297	641.480517642418
BUF	HL	0.751155	0.053548	518.848948299082
COB	HL	0.470829	0.171542	619.460449119581
COO	HL	0.391711	0.012804	683.923006481007
DE	HL	0.511823	0	41.6417163143973
DUN	HL	0.388125	0.020396	613.007505561033
FOR	HL	0.375966	0.046795	721.086481623864
GA	HL	0	0.060078	684.972822207883
GIL	HL	0.516849	0.036588	681.842491328066
GOD	HL	0.379229	0.107235	750.17393196826
AIL	HO	0.42427	0.00949	125.017161834292
AV	HO	0.270518	0.133252	569.981677521177
BLU	HO	0.303927	0.08039	108.322954186719
BR	HO	0.048538	0	124.477062583337
BUF	HO	0.590804	0.000602	239.522115796494
COB	HO	0.165003	0	231.398071303941
COO	HO	0.063	0.188397	111.902546438961
DE	HO	0.366742	0.129622	792.023779988769
DUN	HO	0.10741	0.045749	138.698272062673
FOR	HO	0.035092	0	148.155596917959
GA	HO	0	0	69.8617291074174
GIL	HO	0.182541	0.02139	118.855624281667
GOD	HO	0.052407	0	73.1801362547862
HL	HO	0.377469	0.168275	751.700711616407
AIL	KA	0.548726	0.014101	264.693175546896
AV	KA	0.374981	0.13369	513.900087216715
BLU	KA	0.405962	0.086273	265.419932259232
BR	KA	0.254021	0	110.187747172081
BUF	KA	0.664681	0.010528	189.363383975966
COB	KA	0.321751	0.001676	74.0557233395832
COO	KA	0.216474	0.187958	75.4405869108567
DE	KA	0.49464	0.134436	724.399576121099
DUN	KA	0.247585	0.053421	168.019345754213
FOR	KA	0.197578	0.007222	303.317868701449
GA	KA	0	0.006013	140.725899364032
GIL	KA	0.341389	0.033162	68.5324831543723
GOD	KA	0.220798	0	245.26534364144
HL	KA	0.470746	0.169743	687.464825008422
HO	KA	0.208091	0.000339	179.837449871163
AIL	KIT	0.34835	0	87.1128460527044
AV	KIT	0.201784	0.020436	475.896259248574
BLU	KIT	0.222055	0	98.669506597634
BR	KIT	0.027485	0.01027	77.146391752238
BUF	KIT	0.485401	0	156.247699845904
COB	KIT	0.129294	0.042341	202.043673880352
COO	KIT	0.040079	0.005992	108.498746459087
DE	KIT	0.304573	0	698.327638461909
DUN	KIT	0.066943	0	49.783580102714
FOR	KIT	0.015096	0	129.665590369703
GA	KIT	0	0	49.5776682512834
GIL	KIT	0.151695	0	114.474049143849
GOD	KIT	0.026505	0	103.037031237124
HL	KIT	0.321735	0.016129	657.684686431585
HO	KIT	0.027639	0.022528	96.8084636673748
KA	KIT	0.143071	0.04327	181.527556212189
AIL	KSR	0.534075	0.072319	184.022168881402
AV	KSR	0.329748	0	475.665705383969
BLU	KSR	0.378505	0.019789	189.410053081168
BR	KSR	0.093895	0.151659	25.5281952809877
BUF	KSR	0.733876	0.055412	136.979937819605
COB	KSR	0.210401	0.212211	109.247220793466
COO	KSR	0.068884	0.067572	29.4261950977799
DE	KSR	0.451724	0	693.824510923896
DUN	KSR	0.13498	0.059278	84.0780864437975
FOR	KSR	0.052718	0.069975	224.902275879881
GA	KSR	0	0.072351	66.1240756334753
GIL	KSR	0.170799	0	29.3835198366616
HL	KSR	0.441884	0.042636	654.926093998993
HO	KSR	0.063921	0.213801	126.77985949822
KA	KSR	0.27716	0.197661	85.218173692856
KIT	KSR	0.02611	0	98.1721395437926
AIL	MAP	0.531078	0	103.51676784539
AV	MAP	0.339465	0.08231	515.998062105073
BLU	MAP	0.387066	0.045956	101.081442086385
BR	MAP	0.209242	0	80.6838449869041
BUF	MAP	0.656918	0	187.438491196982
COB	MAP	0.289363	0.017894	200.893227268836
COO	MAP	0.221228	0.155836	89.0441664146206
DE	MAP	0.446771	0.092948	738.093457610322
DUN	MAP	0.220442	0.02282	84.7863875772806
FOR	MAP	0.154393	0	139.429452182617
GA	MAP	0	0	25.5279464861574
GIL	MAP	0.326732	0.002436	96.1430735861265
GOD	MAP	0.180046	0.003432	86.0529553955292
HL	MAP	0.448573	0.139563	697.733506800919
HO	MAP	0.189144	0.012514	54.0152245324203
KA	MAP	0.31593	5.7e-05	164.340441120637
KIT	MAP	0.120272	0.007557	44.8155276193589
KSR	MAP	0.248825	0.160183	91.651492786054
AIL	MTC	0.461708	0	42.2865138546862
AV	MTC	0.324853	0.023302	516.983434287598
BLU	MTC	0.359973	0	42.427923363742
BR	MTC	0.057496	0	130.20992226903
BUF	MTC	0.664914	0	210.091321107152
COB	MTC	0.182768	0.03027	255.203125458654
COO	MTC	0.083439	0.077474	149.843843935627
DE	MTC	0.445705	0.019964	739.325663929424
DUN	MTC	0.109206	0	104.986000834622
FOR	MTC	0.032555	0	78.0786750142782
GA	MTC	0	0	84.5519631322387
GIL	MTC	0.224963	0	156.754679313705
GOD	MTC	0.066603	0	52.096545628427
HL	MTC	0.426907	0.047306	698.230721810001
HO	MTC	0.087106	0.014706	85.4110209374994
KA	MTC	0.266545	0.016458	225.273869897755
KIT	MTC	0.039839	0	57.0121565867681
KSR	MTC	0.120349	0.029412	147.445957394421
MAP	MTC	0.231185	0	61.9870926498189
AIL	NEY	0.606896	0	348.916457204007
AV	NEY	0.471021	0.041354	246.607415070675
BLU	NEY	0.496125	0	372.950803962147
BR	NEY	0.269177	0.004323	241.098462495601
BUF	NEY	0.660565	0	126.815126124762
COB	NEY	0.367813	0.028763	203.520506216871
COO	NEY	0.301159	0.035119	275.868153461455
DE	NEY	0.55589	0.01134	453.240335010654
DUN	NEY	0.269375	0	233.279546136804
FOR	NEY	0.245888	0	390.10622002745
GA	NEY	0	0	293.470979212989
GIL	NEY	0.420077	0	272.545517212257
GOD	NEY	0.274774	0	385.935691122022
HL	NEY	0.54394	0.037495	416.450384981332
HO	NEY	0.267987	0.007963	363.332469288456
KA	NEY	0.392632	0.027223	271.159937394678
KIT	NEY	0.219819	0	283.05643117387
KSR	NEY	0.320198	0.045309	248.536563860181
MAP	NEY	0.381499	0.007693	312.713749945529
MTC	NEY	0.304928	0	336.586261897439
AIL	NH	0.664332	0	80.6780652474717
AV	NH	0.453474	0.025401	557.099289521383
BLU	NH	0.540953	0	61.3932518281847
BR	NH	0.297748	0	138.802195337832
BUF	NH	0.809206	0	238.806388274361
COB	NH	0.395147	0.026863	258.01773059888
COO	NH	0.306584	0.060131	142.2342391171
DE	NH	0.578307	0.019263	779.611704500291
DUN	NH	0.302409	0	132.559610719119
FOR	NH	0.220686	0	101.164805190533
GA	NH	0	0	83.3026402592288
GIL	NH	0.438996	0	149.472838272856
GOD	NH	0.24813	0	29.7161683230173
HL	NH	0.549059	0.040237	738.743537855311
HO	NH	0.267918	0.003075	46.991375055066
KA	NH	0.392573	0.018742	215.549999312756
KIT	NH	0.177446	0	83.3440014747512
KSR	NH	0.371619	0.016173	149.059197271132
MAP	NH	0.367906	0	58.1800921761317
MTC	NH	0.327376	0	46.3435797079511
NEY	NH	0.468821	0	365.403058975684
AIL	NY	0.431389	0.024146	175.872156669447
AV	NY	0.311556	0.136364	450.254634731357
BLU	NY	0.321179	0.090085	185.727702138356
BR	NY	0.051962	0.011494	14.8580470716575
BUF	NY	0.599831	0.004187	111.356046024398
COB	NY	0.163853	0.008507	113.350462240573
COO	NY	0.084188	0.176366	56.4528425775968
DE	NY	0.411559	0.116745	669.264430468801
DUN	NY	0.109943	0.046846	62.4214821932949
FOR	NY	0.041155	0.017836	218.410134305567
GA	NY	0	0.017964	71.3880695098998
GIL	NY	0.185246	0.025951	56.8947133564147
GOD	NY	0.087794	0.024554	180.255230988434
HL	NY	0.406135	0.155689	630.099595806103
HO	NY	0.063781	0.012921	139.156164606626
KA	NY	0.226783	0.018962	106.207674671039
KIT	NY	0.05296	0.000621	88.801693332441
KSR	NY	0.089923	0.206473	27.5127668854809
MAP	NY	0.214891	0.023164	95.396126898053
MTC	NY	0.079849	0.025547	143.306015505294
NEY	NY	0.279927	0.03001	227.476115384672
NH	NY	0.288303	0.020757	153.448412661066
AIL	PA1	0.446338	0.040411	608.113224859482
AV	PA1	0.235704	0	104.82936941501
BLU	PA1	0.329034	0	637.661945100132
BR	PA1	0.161293	0.107819	541.935550155808
BUF	PA1	0.558345	0.041237	419.5635060507
COB	PA1	0.247796	0.142135	510.824648809531
COO	PA1	0.153003	0.021946	581.947103355026
DE	PA1	0.324105	0	145.34064421093
DUN	PA1	0.17291	0.030355	518.76298494746
FOR	PA1	0.139436	0.048212	641.41086722046
GA	PA1	0	0.049208	588.571988816274
GIL	PA1	0.281988	0.002188	579.340684951638
GOD	PA1	0.139745	0.07646	662.293399042103
HL	PA1	0.334544	0.042327	113.065660433861
HO	PA1	0.140577	0.137769	656.897347902274
KA	PA1	0.243904	0.131853	580.384836365798
KIT	PA1	0.088659	0.021921	565.570620257454
KSR	PA1	0.171498	0	553.44469400683
MAP	PA1	0.229477	0.094132	603.367175915159
MTC	PA1	0.172991	0.037086	610.217655363039
NEY	PA1	0.329269	0.025243	309.485910497723
NH	PA1	0.288738	0.035147	648.190570758548
NY	PA1	0.175347	0.146754	529.736275811443
AIL	PAR	0.797795	0	468.890792698774
AV	PAR	0.470168	0	52.74438303428
BLU	PAR	0.662726	0	498.567565507852
BR	PAR	0.49427	0.075829	410.664666190389
BUF	PAR	0.935856	0	288.086188517838
COB	PAR	0.552624	0.119881	396.628895537327
COO	PAR	0.4533	0.080322	453.600638473802
DE	PAR	0.65503	0	270.600978512161
DUN	PAR	0.431477	0	382.999138298389
FOR	PAR	0.378705	0	502.104976520631
GA	PAR	0	0	454.405160982492
GIL	PAR	0.609265	0	451.734237867336
HL	PAR	0.536262	0	230.851924060784
HO	PAR	0.405258	0.113122	521.647599310699
KA	PAR	0.532545	0.104866	461.323279831677
KIT	PAR	0.335248	0	428.683779351613
MAP	PAR	0.507539	0.085812	467.785518090431
MTC	PAR	0.509858	0	471.839478329787
NEY	PAR	0.604422	0	193.95647705887
NH	PAR	0.679583	0	510.717477354071
NY	PAR	0.426051	0.127232	399.402790335157
PA1	PAR	0.378722	0.006873	139.319570566916
AIL	PT	0.44899	0.004666	608.81927545823
AV	PT	0.229043	0.041343	113.9314935417
BLU	PT	0.324086	0.011224	637.999301948413
BR	PT	0.14769	0.091646	537.402936289075
BUF	PT	0.570334	0	415.504310555858
COB	PT	0.230695	0.114551	501.890891300901
COO	PT	0.161776	0.086545	576.318244410657
DE	PT	0.375326	0.026774	157.325955187882
DUN	PT	0.168256	0.008455	516.273321328937
FOR	PT	0.117629	0	643.010428164805
GA	PT	0	0.012194	585.136591010193
GIL	PT	0.274835	0.009314	573.486573985458
GOD	PT	0.131775	0.086221	661.522196089371
HL	PT	0.35784	0.031668	128.156678260157
HO	PT	0.128807	0.112671	653.895843995338
KA	PT	0.264375	0.108681	572.273606293856
