DEBUG 24-01 14:54:00,982 (PGDSpiderGUI.java:<init>:121)  -starting PGD Spider ...
WARN  24-01 14:54:00,985 (PGDSpiderConfig.java:loadConfig:75)  -PGDSpider configuration file not found! Loading default configuration.
DEBUG 24-01 14:54:01,738 (PGDSpiderGUI.java:initializeGUI:220)  -init actions
DEBUG 24-01 14:54:01,739 (PGDSpiderGUI.java:initializeGUI:233)  -init menu bar
DEBUG 24-01 14:54:01,797 (PGDSpiderGUI.java:initializeGUI:244)  -init input panel
DEBUG 24-01 14:54:01,799 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 24-01 14:54:01,802 (ParserFactory.java:getParserInstance:53)  -New ArlequinParser instance
DEBUG 24-01 14:54:01,810 (ParserFactory.java:getParserInstance:185)  -Parser for type: BAMOVA is missing!
DEBUG 24-01 14:54:01,810 (ParserFactory.java:getParserInstance:57)  -New BamParser instance
DEBUG 24-01 14:54:01,814 (ParserFactory.java:getParserInstance:61)  -New BapsParser instance
DEBUG 24-01 14:54:01,816 (ParserFactory.java:getParserInstance:65)  -New BatwingParser instance
DEBUG 24-01 14:54:01,818 (ParserFactory.java:getParserInstance:185)  -Parser for type: BAYENV is missing!
DEBUG 24-01 14:54:01,818 (ParserFactory.java:getParserInstance:69)  -New BcfParser instance
DEBUG 24-01 14:54:01,819 (ParserFactory.java:getParserInstance:73)  -New ConvertParser instance
DEBUG 24-01 14:54:01,821 (ParserFactory.java:getParserInstance:77)  -New EigensoftParser instance
DEBUG 24-01 14:54:01,822 (ParserFactory.java:getParserInstance:181)  -New ExtendedFastaParser instance
DEBUG 24-01 14:54:01,825 (ParserFactory.java:getParserInstance:81)  -New FastaParser instance
DEBUG 24-01 14:54:01,825 (ParserFactory.java:getParserInstance:85)  -New FastqParser instance
DEBUG 24-01 14:54:01,826 (ParserFactory.java:getParserInstance:185)  -Parser for type: FDist2 (datacal) is missing!
DEBUG 24-01 14:54:01,826 (ParserFactory.java:getParserInstance:89)  -New FstatParser instance
DEBUG 24-01 14:54:01,827 (ParserFactory.java:getParserInstance:93)  -New GdaParser instance
DEBUG 24-01 14:54:01,828 (ParserFactory.java:getParserInstance:97)  -New GenelandParser instance
DEBUG 24-01 14:54:01,830 (ParserFactory.java:getParserInstance:101)  -New GenepopParser instance
DEBUG 24-01 14:54:01,831 (ParserFactory.java:getParserInstance:105)  -New GenetixParser instance
DEBUG 24-01 14:54:01,832 (ParserFactory.java:getParserInstance:185)  -Parser for type: GESTE / BayeScan is missing!
DEBUG 24-01 14:54:01,832 (ParserFactory.java:getParserInstance:109)  -New HgdpParser instance
DEBUG 24-01 14:54:01,834 (ParserFactory.java:getParserInstance:113)  -New HgdpCephParser instance
DEBUG 24-01 14:54:01,835 (ParserFactory.java:getParserInstance:117)  -New Ima2Parser instance
DEBUG 24-01 14:54:01,837 (ParserFactory.java:getParserInstance:121)  -New ImmancParser instance
DEBUG 24-01 14:54:01,837 (ParserFactory.java:getParserInstance:125)  -New ImParser instance
DEBUG 24-01 14:54:01,839 (ParserFactory.java:getParserInstance:185)  -Parser for type: KML is missing!
DEBUG 24-01 14:54:01,839 (ParserFactory.java:getParserInstance:129)  -New MafParser instance
DEBUG 24-01 14:54:01,842 (ParserFactory.java:getParserInstance:133)  -New MegaParser instance
DEBUG 24-01 14:54:01,843 (ParserFactory.java:getParserInstance:137)  -New MigrateParser instance
DEBUG 24-01 14:54:01,844 (ParserFactory.java:getParserInstance:141)  -New MsaParser instance
DEBUG 24-01 14:54:01,845 (ParserFactory.java:getParserInstance:185)  -Parser for type: MSVar is missing!
DEBUG 24-01 14:54:01,845 (ParserFactory.java:getParserInstance:145)  -New NewHybridsParser instance
DEBUG 24-01 14:54:01,847 (ParserFactory.java:getParserInstance:149)  -New NexusParser instance
DEBUG 24-01 14:54:01,849 (ParserFactory.java:getParserInstance:153)  -New OneSampParser instance
DEBUG 24-01 14:54:01,850 (ParserFactory.java:getParserInstance:157)  -New PedParser instance
DEBUG 24-01 14:54:01,851 (ParserFactory.java:getParserInstance:165)  -New PhylipParser instance
DEBUG 24-01 14:54:01,852 (ParserFactory.java:getParserInstance:169)  -New SamParser instance
DEBUG 24-01 14:54:01,853 (ParserFactory.java:getParserInstance:185)  -Parser for type: Structurama is missing!
DEBUG 24-01 14:54:01,854 (ParserFactory.java:getParserInstance:173)  -New StructureParser instance
DEBUG 24-01 14:54:01,855 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 24-01 14:54:01,861 (PGDSpiderGUI.java:initializeGUI:247)  -init output panel
DEBUG 24-01 14:54:01,884 (WriterFactory.java:getWriterInstance:171)  -Writer for type: CONVERT is missing!
DEBUG 24-01 14:54:01,896 (WriterFactory.java:getWriterInstance:171)  -Writer for type: HGDP is missing!
DEBUG 24-01 14:54:01,896 (WriterFactory.java:getWriterInstance:171)  -Writer for type: HGDP_CEPH (Arlequin) is missing!
DEBUG 24-01 14:54:01,901 (WriterFactory.java:getWriterInstance:171)  -Writer for type: MAF is missing!
DEBUG 24-01 14:54:01,918 (PGDSpiderGUI.java:initializeGUI:250)  -init spid panel
DEBUG 24-01 14:54:01,919 (PGDSpiderGUI.java:initializeGUI:253)  -init log panel
DEBUG 24-01 14:54:01,920 (PGDSpiderGUI.java:initializeGUI:256)  -init button panel
DEBUG 24-01 14:54:03,817 (PGDSpiderGUI.java:<init>:187)  -PGD Spider up and running...
DEBUG 24-01 14:55:41,520 (SelectOutputFileAction.java:actionPerformed:52)  -Added file extension: 
DEBUG 24-01 14:59:33,994 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 24-01 14:59:33,994 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 24-01 14:59:33,994 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 24-01 14:59:33,999 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 24-01 14:59:33,999 (ParserFactory.java:getParserInstance:53)  -New ArlequinParser instance
DEBUG 24-01 14:59:33,999 (ParserFactory.java:getParserInstance:185)  -Parser for type: BAMOVA is missing!
DEBUG 24-01 14:59:33,999 (ParserFactory.java:getParserInstance:57)  -New BamParser instance
DEBUG 24-01 14:59:33,999 (ParserFactory.java:getParserInstance:61)  -New BapsParser instance
DEBUG 24-01 14:59:33,999 (ParserFactory.java:getParserInstance:65)  -New BatwingParser instance
DEBUG 24-01 14:59:34,000 (ParserFactory.java:getParserInstance:185)  -Parser for type: BAYENV is missing!
DEBUG 24-01 14:59:34,000 (ParserFactory.java:getParserInstance:69)  -New BcfParser instance
DEBUG 24-01 14:59:34,000 (ParserFactory.java:getParserInstance:73)  -New ConvertParser instance
DEBUG 24-01 14:59:34,000 (ParserFactory.java:getParserInstance:77)  -New EigensoftParser instance
DEBUG 24-01 14:59:34,000 (ParserFactory.java:getParserInstance:181)  -New ExtendedFastaParser instance
DEBUG 24-01 14:59:34,000 (ParserFactory.java:getParserInstance:81)  -New FastaParser instance
DEBUG 24-01 14:59:34,000 (ParserFactory.java:getParserInstance:85)  -New FastqParser instance
DEBUG 24-01 14:59:34,000 (ParserFactory.java:getParserInstance:185)  -Parser for type: FDist2 (datacal) is missing!
DEBUG 24-01 14:59:34,000 (ParserFactory.java:getParserInstance:89)  -New FstatParser instance
DEBUG 24-01 14:59:34,000 (ParserFactory.java:getParserInstance:93)  -New GdaParser instance
DEBUG 24-01 14:59:34,000 (ParserFactory.java:getParserInstance:97)  -New GenelandParser instance
DEBUG 24-01 14:59:34,001 (ParserFactory.java:getParserInstance:101)  -New GenepopParser instance
DEBUG 24-01 14:59:34,001 (ParserFactory.java:getParserInstance:105)  -New GenetixParser instance
DEBUG 24-01 14:59:34,001 (ParserFactory.java:getParserInstance:185)  -Parser for type: GESTE / BayeScan is missing!
DEBUG 24-01 14:59:34,001 (ParserFactory.java:getParserInstance:109)  -New HgdpParser instance
DEBUG 24-01 14:59:34,001 (ParserFactory.java:getParserInstance:113)  -New HgdpCephParser instance
DEBUG 24-01 14:59:34,001 (ParserFactory.java:getParserInstance:117)  -New Ima2Parser instance
DEBUG 24-01 14:59:34,001 (ParserFactory.java:getParserInstance:121)  -New ImmancParser instance
DEBUG 24-01 14:59:34,001 (ParserFactory.java:getParserInstance:125)  -New ImParser instance
DEBUG 24-01 14:59:34,001 (ParserFactory.java:getParserInstance:185)  -Parser for type: KML is missing!
DEBUG 24-01 14:59:34,001 (ParserFactory.java:getParserInstance:129)  -New MafParser instance
DEBUG 24-01 14:59:34,001 (ParserFactory.java:getParserInstance:133)  -New MegaParser instance
DEBUG 24-01 14:59:34,002 (ParserFactory.java:getParserInstance:137)  -New MigrateParser instance
DEBUG 24-01 14:59:34,002 (ParserFactory.java:getParserInstance:141)  -New MsaParser instance
DEBUG 24-01 14:59:34,002 (ParserFactory.java:getParserInstance:185)  -Parser for type: MSVar is missing!
DEBUG 24-01 14:59:34,002 (ParserFactory.java:getParserInstance:145)  -New NewHybridsParser instance
DEBUG 24-01 14:59:34,002 (ParserFactory.java:getParserInstance:149)  -New NexusParser instance
DEBUG 24-01 14:59:34,002 (ParserFactory.java:getParserInstance:153)  -New OneSampParser instance
DEBUG 24-01 14:59:34,002 (ParserFactory.java:getParserInstance:157)  -New PedParser instance
DEBUG 24-01 14:59:34,002 (ParserFactory.java:getParserInstance:165)  -New PhylipParser instance
DEBUG 24-01 14:59:34,002 (ParserFactory.java:getParserInstance:169)  -New SamParser instance
DEBUG 24-01 14:59:34,002 (ParserFactory.java:getParserInstance:185)  -Parser for type: Structurama is missing!
DEBUG 24-01 14:59:34,002 (ParserFactory.java:getParserInstance:173)  -New StructureParser instance
DEBUG 24-01 14:59:34,002 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 24-01 14:59:34,005 (WriterFactory.java:getWriterInstance:171)  -Writer for type: CONVERT is missing!
DEBUG 24-01 14:59:34,005 (WriterFactory.java:getWriterInstance:171)  -Writer for type: HGDP is missing!
DEBUG 24-01 14:59:34,005 (WriterFactory.java:getWriterInstance:171)  -Writer for type: HGDP_CEPH (Arlequin) is missing!
DEBUG 24-01 14:59:34,005 (WriterFactory.java:getWriterInstance:171)  -Writer for type: MAF is missing!
DEBUG 24-01 15:02:35,169 (SaveApplySpidFileAction.java:actionPerformed:88)  -Added file extension: .spid
DEBUG 24-01 15:02:35,189 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
INFO  24-01 15:02:35,195 (SaveApplySpidFileAction.java:actionPerformed:123)  -Saved SPID file as: vcf-structure_spid.txt.spid
INFO  24-01 15:02:35,215 (PGDSpiderGUI.java:setSpidFile:661)  -loading SPID file: vcf-structure_spid.txt.spid
DEBUG 24-01 15:02:35,221 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
INFO  24-01 15:02:38,278 (ConvertAction.java:actionPerformed:65)  -Convert...
DEBUG 24-01 15:02:38,283 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
