From	To	Gst.plant	Gst.insect	geo
ASP	BAL	0.23494166830173	0.23746292349375	993.839666912477
ASP	BAZ	0.253337613088514	0.182396923106168	557.710748997633
BAL	BAZ	0.124269668888941	0.191585214748139	738.477721054162
ASP	BDL	0.36886628103131	0.20755949967797	680.76121717691
BAL	BDL	0.30615690521074	0.207053553550779	315.727761898852
BAZ	BDL	0.326565356218502	0.178966102724771	535.751257874704
ASP	BEG	0.270806495590378	0.238903949425734	717.228282681735
BAL	BEG	0.177520817257047	0.222432756931212	278.755235683975
BAZ	BEG	0.19229345065678	0.192636928583859	508.367773053075
BDL	BEG	0.313274969533877	0.217388758350503	73.0255859604491
ASP	BOK	0.428253202761888	0.25486324534464	1850.94418143582
BAL	BOK	0.300447690757544	0.249524859498889	1038.18026071776
BAZ	BOK	0.332714954994781	0.225630629619861	1350.41396414653
BDL	BOK	0.477943906796897	0.230411127229019	1288.80361015223
BEG	BOK	0.358131015676301	0.271288534286659	1220.75079905931
ASP	BOL	0.323849662109825	0.330032385829725	883.192895688294
BAL	BOL	0.30370175422987	0.323764792175638	149.684010365731
BAZ	BOL	0.269172544200597	0.270265925837494	709.510044428103
BDL	BOL	0.43310247846954	0.302168771868156	207.388181800411
BEG	BOL	0.297341019050613	0.289586596180188	203.752905439452
BOK	BOL	0.505089496605968	0.319786121272509	1186.17550721314
ASP	BOV	0.327640316994263	0.208268007081919	839.830229145943
BAL	BOV	0.193838687507134	0.212669640089762	598.309209728149
BAZ	BOV	0.266372919390345	0.166632533121185	307.479241104845
BDL	BOV	0.376999461864968	0.173575988029253	538.46636186201
BEG	BOV	0.229340794419966	0.215919888179438	477.361740399253
BOK	BOV	0.341885607568878	0.257595041766896	1043.13744845197
BOL	BOV	0.355155461541104	0.306300221241957	633.912017720444
ASP	CAP	0.27011306586225	0.228429836416116	191.010063874939
BAL	CAP	0.137780249863384	0.223263246736243	839.018130925143
BAZ	CAP	0.174018523841088	0.172744632349918	376.167626937839
BDL	CAP	0.322736089271795	0.211954161957269	536.462206297506
BEG	CAP	0.193239428130965	0.246090627080273	560.327111382165
BOK	CAP	0.305269992358657	0.259841037723643	1661.69453401862
BOL	CAP	0.285610614316978	0.346684526722134	743.717682615661
BOV	CAP	0.145020690260763	0.201902685099779	649.580330797651
ASP	CAS	0.258721899569308	0.239638829826818	962.142040990964
BAL	CAS	0.248472153513724	0.234178095159421	411.106640490222
BAZ	CAS	0.256319329871915	0.188331415746137	946.212717867998
BDL	CAS	0.390681360483593	0.238717144806749	411.493753276377
BEG	CAS	0.21490314918523	0.241004479129227	453.516362003624
BOK	CAS	0.470509121169646	0.27304753014512	1421.11510280505
BOL	CAS	0.221043519997664	0.358678907550517	299.567221808857
BOV	CAS	0.362193175323961	0.217212854605488	922.384347172739
CAP	CAS	0.273441406249711	0.214809259722247	872.20742613409
ASP	CUE	0.264952218879082	0.218130973330132	291.936680576072
BAL	CUE	0.322183651683862	0.209007203701157	1235.68133801146
BAZ	CUE	0.333980081887093	0.168136835408332	847.38727010555
BDL	CUE	0.460543844706687	0.183359725091593	920.311098785444
BEG	CUE	0.278222485285678	0.200594303073338	968.364481850414
BOK	CUE	0.519980762697074	0.255004186286676	2136.01954270848
BOL	CUE	0.246525751284206	0.328064025055543	1109.81606759177
BOV	CUE	0.42479466987301	0.186239183500486	1131.69513560015
CAP	CUE	0.319470402742213	0.22570379051743	482.31945892
CAS	CUE	0.192414576408803	0.243395995713374	1125.81689422785
ASP	DES	0.293759003987804	0.29415079497441	1836.36177219314
