From	To	Fst.assoc	Fst.plant	Gdist
JoshuaTree	JoshuaTree	0	0	0
JoshuaTree	FreemontPk	0.089431	0.07214	122.527280312629
FreemontPk	FreemontPk	0	0	0
JoshuaTree	KramerHills	0.000556	0.045702	148.468051186548
FreemontPk	KramerHills	0.10082	0.063387	74.2196274399023
KramerHills	KramerHills	0	0	0
JoshuaTree	Trona	0.03695	0.035452	198.030594720981
FreemontPk	Trona	0.132557	0.082011	138.285366857342
KramerHills	Trona	0.018031	0.052108	64.4217685786178
Trona	Trona	0	0	0
JoshuaTree	EurekaValley	0.010893	0.076614	391.081016505292
FreemontPk	EurekaValley	0.099229	0.121226	351.218094247576
KramerHills	EurekaValley	0.064341	0.064396	277.350719001723
Trona	EurekaValley	0.061379	0.091743	212.977460817908
EurekaValley	EurekaValley	0	0	0
JoshuaTree	GoldPoint	0.04685	0.073223	374.957194348063
FreemontPk	GoldPoint	0.129167	0.115563	347.777037877459
KramerHills	GoldPoint	0.065774	0.058502	273.597721629173
Trona	GoldPoint	0.104936	0.069991	210.545918453856
EurekaValley	GoldPoint	0.019471	0.033255	40.5827589683131
GoldPoint	GoldPoint	0	0	0
JoshuaTree	ClaytonValley	0.067726	0.070014	409.061456846394
FreemontPk	ClaytonValley	0.156627	0.122419	373.269810868285
KramerHills	ClaytonValley	0.06197	0.092084	299.21063772199
Trona	ClaytonValley	0.055652	0.084305	234.991291146459
EurekaValley	ClaytonValley	0.046774	0.06733	24.2241868975668
GoldPoint	ClaytonValley	0.109589	0.049089	40.6949930735706
ClaytonValley	ClaytonValley	0	0	0
JoshuaTree	MontezumaPk	0.043139	0.089373	413.284950940966
FreemontPk	MontezumaPk	0.169729	0.168449	390.643916702339
KramerHills	MontezumaPk	0.026259	0.100157	316.539964122726
Trona	MontezumaPk	0.05676	0.111164	253.818172835743
EurekaValley	MontezumaPk	0.049209	0.0536	64.1642210004827
GoldPoint	MontezumaPk	0.036627	0.026423	43.5611298101628
ClaytonValley	MontezumaPk	-0.006158	0.073717	45.1116241721474
MontezumaPk	MontezumaPk	0	0	0
JoshuaTree	NevTestSiteII	0.035292	0.052348	316.827318120561
FreemontPk	NevTestSiteII	0.093996	0.098949	334.030746827229
KramerHills	NevTestSiteII	0.037519	0.0536	267.584856071508
Trona	NevTestSiteII	0.077727	0.057964	220.445936870868
EurekaValley	NevTestSiteII	0.056924	0.081364	168.999665052749
GoldPoint	NevTestSiteII	0.077458	0.071963	129.518533904895
ClaytonValley	NevTestSiteII	0.071952	0.083699	168.453357155022
MontezumaPk	NevTestSiteII	0.038491	0.098422	140.897107144745
NevTestSiteII	NevTestSiteII	0	0	0
JoshuaTree	TVSouth	-0.006064	0.063543	365.11622184627
FreemontPk	TVSouth	0.142767	0.089434	392.042245949261
KramerHills	TVSouth	0.041541	0.039855	327.236838165702
Trona	TVSouth	0.126923	0.065098	281.315356297492
EurekaValley	TVSouth	0.138824	0.070289	204.658832342769
GoldPoint	TVSouth	0.121569	0.058179	164.174853606568
ClaytonValley	TVSouth	0.169109	0.093043	197.414269890565
MontezumaPk	TVSouth	0.068493	0.095408	159.50742660217
NevTestSiteII	TVSouth	0.072368	0.051992	60.9178386991265
TVSouth	TVSouth	0	0	0
JoshuaTree	TikabooValley	0.034005	0.062228	377.010452447602
FreemontPk	TikabooValley	0.085636	0.104115	402.985088046562
KramerHills	TikabooValley	0.041424	0.044816	337.654119903558
Trona	TikabooValley	0.060847	0.063827	290.774717812216
EurekaValley	TikabooValley	0.082326	0.055519	205.554173557833
GoldPoint	TikabooValley	0.08956	0.050564	165.338503276049
ClaytonValley	TikabooValley	0.091894	0.08143	196.948772924202
MontezumaPk	TikabooValley	0.003651	0.069973	157.48341388328
NevTestSiteII	TikabooValley	0.00807	0.062206	70.4426962372042
TVSouth	TikabooValley	0.025448	0.04048	11.9559158865004
TikabooValley	TikabooValley	0	0	0
