Tegeticula synthetica microsat data from Yoder et al (2013, JEB)
116	19	9	2	3
JoshuaTree
YuccaValley
FreemontPk
KramerHills
FossilBedRd
RandMountains
LancasterPalmdale
CactusFlats
Trona
TinMountain
EurekaValley
GoldPoint
ClaytonValley
MontezumaPk
CraterValley
NevTestSite
NevTestSiteII
TVSouth
TVsyn
Population	Individual	Clone	TS02	TS03	TS06	TS13	TS14	TS01	TS05	TS09	TS15
1	JNP01	101	107111	108108	109109	105107	108125	103106	102103	104105	113117
1	JNP02	101	106113	106106	109109	105107	109113	105106	104104	105108	111118
1	JNP03	101	107113	104104	108108	105107	109114	103104	103103	104105	100100
1	JNP04	101	108112	104106	110110	106106	111112	103105	105105	104105	152156
1	JNP05	101	107113	108108	109109	104107	122126	102106	104105	104104	110115
2	YV01	101	104106	104107	109109	105105	105111	103103	104104	104105	110132
2	YV02	101	115121	107112	109110	104105	114117	105106	103103	104104	117119
2	YV03	101	106110	104105	109109	102105	112112	102103	103105	104110	110117
2	YV04	101	103111	104107	109109	104105	112125	105106	104104	104104	110110
2	YV05	101	107113	106106	109109	102104	108116	103103	104104	104104	109113
3	FP01	101	107107	106107	109109	105106	117120	105105	105106	104107	101101
3	FP02	101	107109	106107	101109	105106	117126	105105	103103	104104	101101
3	FP03	101	107109	106107	109109	106106	110120	103105	103104	104104	104105
3	FP04	101	107109	104106	101101	105106	117126	103105	104105	104105	104104
3	FP05	101	107109	106107	108108	105106	122126	103103	105106	104107	104111
4	KH01	101	107107	105108	109109	105105	108114	103103	103105	105105	104104
4	KH02	101	110116	107108	109109	105107	111114	103104	103104	105105	108109
4	KH03	101	110113	104106	109109	106106	113119	106106	103104	104105	107134
4	KH04	101	107107	104112	109109	110126	114126	103105	101103	105105	110115
4	KH05	101	109116	107107	109109	104105	109116	106109	105105	104106	112112
4	KH06	101	110110	104104	109109	105105	109109	103106	104104	104106	112122
4	KH07	101	111115	106107	109109	105106	128131	103106	103104	103105	113137
4	KH08	101	107115	104107	109109	105106	110128	105106	103104	104104	118118
4	KH09	101	108109	106106	109110	105116	111122	102103	104104	105106	104116
4	KH10	101	109109	104107	109109	105105	108123	104105	103105	105110	111114
4	KH11	101	111112	104104	110110	105107	114136	105105	103105	104104	112112
4	KH12	101	108110	106107	109109	105106	112112	105106	103106	105106	114127
4	KH13	101	107107	106106	109109	103106	107115	103106	102104	105105	104108
4	KH14	101	107112	107108	109109	106107	113117	106106	104104	105106	112114
4	KH15	101	109110	107108	109109	102105	115124	103106	103104	104104	106106
4	KH16	101	110113	104107	108108	105105	109109	103105	104104	104108	114127
4	KH17	101	107109	106107	109109	102126	115117	104104	104104	105105	104111
5	FB02	101	107108	106107	109109	104109	116130	103106	104104	102105	113115
5	FB03	101	107108	104106	106106	108112	111113	102106	103104	105108	114114
5	FB04	101	106109	106108	108109	104105	111116	103103	104104	104104	113117
5	FB05	101	104116	104106	109109	105107	111121	103103	104104	105105	112141
5	FB06	101	105108	106110	108109	105105	111112	103106	104104	104104	104110
5	FB07	101	108113	104106	109109	101105	122122	105105	103104	105109	126169
6	RM01	101	109111	106108	109109	105106	109112	103105	103106	104105	102102
6	RM02	101	110110	104107	109109	101106	106111	103106	104105	104105	142172
6	RM03	101	108112	106108	109109	105108	111113	105105	103104	105106	110110
6	RM04	101	102113	109109	108108	106106	111121	103106	104104	106106	107118
7	LP01	101	107108	106107	109109	105105	113115	103103	101104	105105	104116
7	LP02	101	107113	107109	109109	105105	115133	103105	104106	104105	104116
7	LP03	101	107113	106107	109109	106107	113115	103105	101104	105105	113116
7	LP04	101	107113	106107	109109	105105	113115	103105	101104	104105	113136
7	LP05	101	109121	104104	109109	105106	105113	103103	102103	104104	112118
7	LP06	101	109109	104104	109109	105105	107114	105105	103106	105106	111117
7	LP07	101	100100	100100	110110	104106	100100	106106	103104	104105	109109
7	LP08	101	111113	104104	109109	104105	116120	103103	104104	104105	104115
8	CF01	101	107111	106107	110110	104111	108111	105105	104104	102105	105110
8	CF02	101	109111	104108	109109	105105	109115	104104	105105	104104	111115
8	CF03	101	107108	104107	108108	105105	106114	104104	103103	105107	117136
8	CF04	101	104109	106109	107109	105106	106128	103105	103105	104104	101118
8	CF05	101	107111	107107	109109	105130	113115	105105	103106	104106	112136
9	TR01	101	110120	105109	109109	106118	116128	103103	103103	102105	108125
9	TR02	101	109113	104105	109109	102105	107110	105105	103104	104104	111116
9	TR03	101	109113	104105	109109	102105	107110	103103	104104	104105	115120
9	TR04	101	107111	100100	109109	106121	111111	105106	104106	105106	102102
10	TM01	101	103109	105106	109109	105105	115117	105105	103104	105105	101119
10	TM02	101	103107	104104	109109	106107	109120	105105	103103	104110	119119
10	TM03	101	103108	104105	109109	101105	111112	103103	104104	105105	113125
10	TM04	101	106108	105106	109109	104105	112122	103104	104104	105105	113114
10	TM05	101	105106	104105	109109	101105	116122	103104	103104	105105	122125
11	EV01	101	107107	108109	109109	107107	106125	103105	103103	105105	109114
11	EV02	101	103107	104104	110110	105108	114118	103105	103103	105106	117121
11	EV03	101	106107	109112	109109	106107	114116	102105	104104	104105	104117
11	EV04	101	103112	108109	109109	104105	110124	103105	104104	104104	105111
11	EV05	101	103107	104106	109109	105107	114117	105105	103106	104104	109111
11	EV06	101	107109	106109	109109	106106	113116	103105	103106	104110	107112
11	EV07	101	107107	104110	110110	105107	110125	105105	103105	105106	103113
11	EV08	101	107107	104108	106106	107107	116125	102102	103106	104106	107114
12	GP01	101	107119	104107	108110	105107	106110	103103	103106	106106	110115
12	GP02	101	107107	107112	109109	105105	112115	105105	103104	105105	118132
12	GP03	101	107107	104109	110110	103105	114138	103103	103105	104105	111119
