"Microsat data for Joshua tree, from Yoder et al 2013, JEB"											
408	28	10	2	3	type
JoshuaTree	west
SanAndreas	west
FreemontPk	west
KramerHills	west
CacutsFlats	west
Trona	west
EurekaValley	west
GoldPoint	west
ClaytonValley	west
MontezumaPk	west
NevTestSiteII	west
TVSouth	west
TikabooValley	contact
HancockSummit	east
DelamarVal	east
EightmileVal	east
SheepRange	east
SheepPass	east
Shivwitts	east
YuccaForest	east
IndianRidge	east
KingstonMtns	east
Cima	east
Searchlight	east
DolanSprings	east
Wikieup	east
JoshuaTreePk	east
AlamoLake	east
Population	Individual	YB04	YB06	YB12	YB13	YB01	YB15	YB21	FIL36	YB08	YB22	
1	i48501	142156	217227	109113	201201	159180	174186	113113	167173	123144	183183
1	i48502	134140	219227	105113	181183	177186	172176	101113	151173	126137	165175
1	i48503	140154	234240	109117	185185	157169	186192	093093	181181	126144	175175
1	i48504	142156	213230	105109	181185	167173	190196	101105	165187	123123	170191
1	i48505	140154	204240	109109	189195	153171	178197	107107	161187	126126	175191
1	i48601	142162	223227	105113	183185	163179	174186	103105	177177	126126	159175
1	i48602	162166	215244	109109	179179	155161	174174	091091	171171	122126	175175
1	i48603	154154	213215	105109	173187	179179	174174	091101	165165	126126	167183
1	i48701	145154	234236	105117	187203	169175	174186	097101	165167	127137	167194
1	i48702	134154	217217	105113	187187	180180	174174	101101	173173	144144	173192
1	i48703	154156	204217	105113	179191	169175	178196	097107	161161	122137	181187
1	i48704	134142	230244	109117	179179	167179	190190	105105	171171	122122	167191
1	i48705	134142	217227	109113	187187	175180	172186	101113	173173	137144	145165
1	i48801	154156	204223	105109	173183	163179	174190	099099	151165	124140	167181
1	i48802	154154	213213	113117	195199	163182	190192	093109	163173	122144	145175
2	i48001	145149	232232	105105	189193	165179	192196	107113	165165	144147	171171
2	i48002	156168	228232	109109	195199	165184	174174	117121	161161	126126	173175
2	i48003	152160	227232	105113	181183	155159	188199	099121	149149	130135	181181
2	i48101	138166	221227	105109	183199	167175	190194	107111	165165	130147	173173
2	i48102	138166	221227	105109	183199	167175	190194	107111	165165	130147	148173
2	i48103	138166	221227	105109	183199	167175	190194	107111	165165	130147	173173
2	i48104	142152	208215	109113	185195	153163	174176	097101	149167	120129	148165
2	i48105	152152	208225	105109	185203	153165	176188	097097	149151	140147	165169
3	i50801	142162	208234	109109	187195	165171	178190	093093	169169	126131	173187
3	i50802	142147	221234	109109	187199	167177	174190	093093	169169	127127	187192
3	i50803	142145	230246	109109	187207	171182	174192	097109	165169	122142	148148
3	i50804	142152	213217	109109	195203	161175	174174	109109	167167	126126	173175
3	i50805	154162	227228	109109	187189	177180	174174	095095	169169	126126	170185
3	i50901	142147	228234	109125	189189	163177	174190	093093	169187	127127	185187
3	i50902	158162	225234	105125	187197	163173	174178	097097	169169	120129	173187
3	i50903	142162	232246	105105	187197	173182	178192	097097	165169	129142	148173
3	i50904	147162	221227	109109	187199	175180	174186	089095	169169	120126	170181
3	i50905	156162	217227	109109	187187	163171	174174	089111	165165	120120	181185
3	i51001	152162	217232	113113	183187	165173	178188	103103	165169	120129	167173
3	i51002	162162	208208	109109	187187	163171	178190	093093	165169	120126	187191
3	i51003	136142	227236	109109	179187	173180	174188	105105	169169	127127	169185
3	i51004	145145	219230	109109	187187	171182	174192	097109	169169	129142	148148
3	i51005	145152	230240	109109	191203	146182	174174	111111	165165	123129	148185
4	i51101	145162	213223	109125	189199	167177	176199	097097	169169	126137	169183
4	i51102	145158	221234	105105	183183	163182	186186	097115	167167	127142	179183
4	i51103	140164	230236	109109	189207	157177	174188	111119	165171	126137	167169
4	i51104	147162	215221	109109	193193	165173	174180	107131	163169	124128	181181
4	i51105	145145	232232	109109	187187	180180	176194	099105	149151	126144	183185
4	i51201	145152	221228	109125	193199	167171	190196	097115	167167	126126	175175
4	i51202	158158	217221	105109	185189	163177	172186	111121	167167	147147	171185
4	i51203	142158	223238	109109	181199	149171	192196	093097	167167	127147	169177
4	i51204	147147	217223	109109	183183	171180	174174	099101	167167	128128	171177
4	i51205	145145	213228	105125	189199	163167	176196	097097	169169	126137	171183
4	i51301	147166	221232	105105	183193	165180	199199	097103	151151	129142	175183
4	i51302	145145	221246	105105	192199	165180	178182	097115	167167	147147	183183
4	i51303	140158	213219	105109	189192	169179	192192	093101	149151	123135	171179
4	i51304	145145	209238	109125	192199	165175	180190	103103	149163	126140	173173
4	i51305	162166	213221	109109	185193	179184	174197	097097	171171	126126	167201
5	i50101	145162	217234	109109	181193	157171	174186	113115	151151	154173	179189
5	i50102	147152	221227	109109	171203	175177	172205	119119	163163	122140	169170
5	i50103	154158	208236	109109	171181	169177	174186	093119	165165	160160	150150
5	i50104	145158	208234	109109	181181	175184	186201	103113	161165	142142	150170
5	i50105	152162	215219	109109	181185	157167	174174	093125	167171	121121	181189
5	i50201	154162	221225	109109	187203	165171	174174	105105	169171	142149	170177
5	i50203	145152	225225	109109	183193	155173	184211	093093	151151	131160	150150
5	i50204	147160	242244	109109	183187	155177	186186	103103	177177	137154	170170
5	i50301	154154	223234	109109	191195	177177	174192	093093	169169	137160	171173
5	i50302	154154	223234	109109	191195	177177	174192	093093	151169	137160	171173
5	i50303	145147	234242	109109	189193	157171	186186	089097	177177	121154	181181
5	i50304	145154	213219	105105	181193	163173	172192	097097	171171	121121	171171
5	i50305	149149	223223	109109	171187	177188	174174	089097	171177	123140	170181
6	i50401	149160	209230	105117	183189	155157	186199	103113	165165	129129	176176
6	i50402	156166	217244	109109	181185	157182	172205	089089	165165	142142	185185
6	i50403	156164	211213	105117	185185	159167	174178	109109	161161	124127	171179
6	i50404	142160	217221	109117	181209	153171	174199	099099	161161	120123	171201
6	i50405	149149	215232	113117	201205	159175	172174	095097	149151	123144	179202
6	i50601	142166	230232	105113	187199	149177	172174	107119	165165	120137	177187
6	i50602	149166	215230	105117	187201	175177	174174	097097	151159	120147	187187
6	i50603	149164	230238	113117	185205	153157	172174	097097	149149	144147	179179
6	i50604	156164	223223	113117	179183	149173	174174	095113	167173	126149	179179
6	i50605	140142	223227	109109	179209	169184	174180	115115	165165	140142	169181
6	i50701	156164	217228	105117	189209	153157	174205	097097	161163	123123	171201
6	i50702	142156	230232	113117	183187	149161	174190	119121	167167	120120	169187
6	i50703	142156	225240	109109	183183	157157	174186	103103	163163	142142	193193
6	i50704	164164	223228	109113	179179	161173	174197	105113	167167	123142	169179
6	i50705	156156	230238	109117	185207	169171	174205	113113	167167	137137	179201
7	i49601	154156	219238	109109	171185	169173	180194	093119	167167	126140	183185
7	i49602	145147	217236	105105	193203	171179	186192	093117	151151	130151	185185
7	i49603	140147	213242	105105	171171	159171	178188	099099	163163	140151	198198
7	i49604	145154	213215	105105	183185	163177	194196	101103	169169	131162	189189
7	i49605	145147	213244	105105	171199	159167	178180	097099	167167	131151	185187
7	i49701	147154	215219	105105	183193	179188	178194	099099	163165	140144	185187
7	i49702	145158	215242	105105	171185	165171	178180	117117	165167	131140	185187
7	i49703	147160	215215	109113	185185	175179	180196	093097	157165	130140	187187
7	i49704	145160	215225	105105	183191	171175	192196	099099	165169	131160	187193
7	i49705	156158	215215	105105	171193	165177	186196	093093	157157	140140	185185
7	i49901	154156	244246	105105	171183	169177	192192	093105	167169	124140	187187
7	i49902	145145	217225	109109	171191	175175	178196	099115	169169	131131	191193
7	i49903	154160	217219	109109	185189	173179	180188	093097	151151	140140	191191
7	i49904	140145	217227	105109	185193	175186	192192	115115	165165	140144	187193
7	i49905	156160	227234	105105	187193	177179	180194	099111	157167	131140	187187
8	i49301	154160	208213	105105	191191	149161	190190	111115	163165	122131	185189
8	i49302	142145	223225	105105	183203	155157	192197	099115	165167	123128	179185
8	i49303	142147	221223	109109	181185	157169	196196	099099	167167	123131	175187
8	i49304	147152	208223	105105	181189	155171	188190	099103	163165	124131	183184
8	i49305	149156	217225	109113	193203	146153	180188	107111	151171	122140	185187
8	i49501	147160	208236	109109	193197	151155	180190	103103	165173	131131	186189
8	i49502	147147	215217	109109	189191	159175	192196	103115	163163	124140	185185
8	i49503	152156	208223	105105	193193	169171	180190	093121	163163	131131	185185
8	i49504	147156	208221	109109	193193	171171	180196	093121	163165	130135	185187
8	i49505	140152	223223	105105	185185	169171	188197	105115	167167	123131	179187
9	i48908	154154	217223	105105	181183	175177	180180	093103	165165	130130	159189
9	i48909	147154	215242	109109	189191	173175	188188	093109	163165	131151	175181
9	i4891	152154	209223	109109	181191	167177	180190	093103	165165	130130	181191
9	i49101	140156	217217	105109	171171	171175	190190	115115	163171	122151	179179
9	i49102	156160	219234	109109	183183	153175	192192	109119	165165	131151	191191
9	i49103	147164	219230	105113	181191	175180	190192	115123	163171	129129	179188
9	i49104	147152	209215	105105	189193	173175	186188	109109	165165	151151	159183
9	i49105	147147	217223	105113	185191	175175	194194	109115	165165	144151	181181
10	i40201	140152	208225	105105	185193	159165	180186	115117	167167	122131	193193
10	i40202	142154	223227	105105	185203	153179	180190	093113	165167	128130	185185
10	i40203	154154	225227	105105	193203	151173	170188	111117	167167	122131	189194
10	i40204	138140	223223	105105	185191	153161	178188	105115	165165	131131	189191
10	i40205	140152	225225	105121	171189	167177	186190	093093	165167	126128	189193
10	i40401	160160	223227	105113	185193	149177	188188	103113	171171	130130	185185
10	i40402	147154	208223	105105	191191	155171	190196	117117	165167	122128	183205
10	i40403	134140	208227	105105	193193	159175	180190	115115	163171	122122	181193
10	i40404	147154	205228	105105	193203	149179	170196	103117	165171	130131	185185
11	i58601	142145	228232	105113	167181	165177	178188	095095	165165	128144	177186
11	i58602	152154	215232	101109	179211	165167	192196	099113	167167	144144	145150
11	i58603	129142	221232	105125	187195	171173	186196	095101	167167	126129	171185
