Tree ID	Population	type	crown dia	branch #	l1	w1	l2	w2	l3	w3	l4	w4	l5	w5	tree_h	h_1st_br	rel_h1b	pet_l	pet_w	pet_diag	pis_l	pis_w	sty_l	sty_bw	sty_mw
CF.01	CactusFlats	western	2	11	26	0.9	24	1	28	1.1	25	0.9	19	0.8	2.6875	0.90625	0.337209302	33.2	13.69	13.11	20.42	7.09	8.7	5.1	2
CF.02	CactusFlats	western	2	9	15	0.8	19	1	17	0.9	19	1	18	0.9	3.90625	1.1875	0.304	45.78	14.96	14.98	24.63	9.82	11.9	6.1	3.5
CF.03	CactusFlats	western	2.5	10	30	1	26	0.9	26	1	26	0.9	20	0.7	2.127272727	0.181818182	0.085470085	27.51	12.28	10.33	22.65	8.72	9.3	4.6	2.8
CF.04	CactusFlats	western	0.75	3	16	0.9	14	0.8	17	0.8	17	0.8	17	1.3	1.057971014	1.652173913	1.561643836	39.46	17.13	18.46	26.89	9.89	13.8	7.2	3.5
CF.05	CactusFlats	western	1.75	13	24	1	20	0.9	19	0.7	22	1.1	24	0.9	3.628571429	1.228571429	0.338582677	32.3	15.61	12.92	23.06	9.23	9.5	6.6	3.6
CF.06	CactusFlats	western	2.5	23	20	0.7	20	0.9	21	0.9	19	0.8	19	0.7	3.151515152	1.424242424	0.451923077	41.55	15.98	17.98	26.35	9.39	11.2	4.4	2.5
CF.07	CactusFlats	western	2	10	26	1.2	28	1	29	1	28	1.3			3.581395349	1.837209302	0.512987013	29.2	16.87	10.26	22.8	9.86	9.8	6.2	3.7
CF.08	CactusFlats	western	2.5	11	16	0.9	25	1.2	19	0.9	16	0.7	24	0.9	3.340909091	1.386363636	0.414965986	42.16	17.12	14.68	30.37	11.56	9.5	6.1	2.2
CF.09	CactusFlats	western	0.5	1	34	1.2	34	1.1	31	1.3	33	1.2			2.24137931			31.08	16.35	11.53	22.6	9.32	10	6.1	3.2
CF.10	CactusFlats	western	4	28	19	0.8	20	0.9	19	0.8	17	0.7	23	0.9	4.15625	1.9375	0.466165414	35.45	14.2	14.16	25.15	10.94	9.2	8.1	5.2
CV.01	ClaytonValley	western	2	9	12.5	19.5	17	23	23.5	0.9	1.1	0.9	1.2	1.2	3.525	0	0	42.67	15.79	16.02	20.47	7.43	9	4.1	1.9
CV.02	ClaytonValley	western	2.3	14	21	23	21.5			0.8	1.1	1.1			3.814814815	1.703703704	0.446601942	35.36	11.99	11.04	20.86	8.71	9.2	5.1	2.4
CV.03	ClaytonValley	western	1.5	5	21.5	26	25	26	25.5	1	1.1	1.2	1.1	1.2	3.609756098	1.487804878	0.412162162	38.91	12.86	11.17	23.81	7.71	12.8	4.9	2.3
CV.04	ClaytonValley	western	1.5	3	21	20	25			1.1	0.8	1.2			2.761904762	1.523809524	0.551724138	34.45	11.52	14.37	21.81	8.23	8	5.1	2.2
CV.05	ClaytonValley	western	2	4	19	24	17	20		1.1	1.2	1.2	1.1		2.583333333	1.1875	0.459677419	38.27	10.28	13.59	27.37	9.92	12.6	6.1	3.6
EV.01	EurekaValley	western	0.25	1	22	1.3	23	1.2	22	1.2		1			1.674418605			34.83	13.56	21.49	23.07	8.62	12.7	5.5	3.1
EV.02	EurekaValley	western	0.75	2	19	0.7	19	0.8	21	0.9	29	0.9			1.973684211	1.447368421	0.733333333	35.89	13.64	18.27	23.17	10.18	10.5	6.7	4.1
EV.03	EurekaValley	western	3	10	17	1	21	1.3	15	0.8	15	0.8			3.657894737	0.947368421	0.258992806	40.83	12.09	15.83	24.28	9.38	8.8	5.6	3.3
EV.04	EurekaValley	western	1.25	7	18	0.8	15	0.7	14	0.7	20	0.8	15	0.8	2.366197183	0.985915493	0.416666667	44.53	15.7	19.09	29.54	9.93	14	6.3	2.9
EV.05	EurekaValley	western	1.75	7	18	1	18	1	18	0.9	18	0.8	17	0.8	2.125	0.267857143	0.12605042	34.54	11.88	6.69	22.61	9.65	7	4.2	2.5
EV.06	EurekaValley	western	0.75	6	18	1.3	16	1.1	15	0.9	15	1	16	1.3	1.953125	1.015625	0.52	41.3	15.39	21.12	24.86	10.56	10.1	6	3.6
EV.07	EurekaValley	western	1.5	5	12	0.9	14	0.8	14	0.8	15	0.8	18	0.8	0.945945946	0.351351351	0.371428571	42.68	11.18	16.39	21.91	7.47	9.6	5	2.3
EV.08	EurekaValley	western	1.5	11	19	0.9	20	1	20	1	20	0.9	23	1.2	2.315789474	0.789473684	0.340909091	42.85	10.96	17.12	25.14	8.79	11	4.5	3.1
