Moth ID	taxon	Population	state	date prep 	initials	date image	order	initials	ovip_mm
05.123A	Tegeticula synthetica	CactusFlats	CA	03/10/2008	CD	15/10/2008	26	CD	3.683461773
05.123B	Tegeticula synthetica	CactusFlats	CA	04/10/2008	CD	15/10/2008	27	CD	3.556667731
05.123C	Tegeticula synthetica	CactusFlats	CA	10/10/2008	CD	10/10/2008	1	CD	4.006512583
05.129A	Tegeticula synthetica	CactusFlats	CA	13/10/2008	CD	13/10/2008	2	CD	4.161256243
05.133A	Tegeticula synthetica	CactusFlats	CA	13/10/2008	CD	13/10/2008	3	WG	3.745341646
05.136A	Tegeticula synthetica	CactusFlats	CA	13/10/2008	CD	13/10/2008	4	CD	3.79169808
5.141	Tegeticula synthetica	FossilBedRd	CA	20/10/2008	CD	15/10/2008	43	CD	3.482534524
5.148	Tegeticula synthetica	FossilBedRd	CA	22/10/2008	CD	23/10/2008	65	CD	3.805382792
05.41A	Tegeticula synthetica	FossilBedRd	CA	23/10/2008	CD	24/10/2008	87	CD	3.777706901
05.41D	Tegeticula synthetica	FossilBedRd	CA	22/10/2008	CD	23/10/2008	70	CD	3.660047369
05.41G	Tegeticula synthetica	FossilBedRd	CA	22/10/2008	CD	23/10/2008	64	CD	3.968038724
05.131A	Tegeticula synthetica	KramerHills	CA	14/10/2008	CD	14/10/2008	13	CD	4.076732745
05.132A	Tegeticula synthetica	KramerHills	CA	14/10/2008	CD	14/10/2008	14	CD	3.910109948
05.142A	Tegeticula synthetica	KramerHills	CA	14/10/2008	CD	14/10/2008	15	CD	3.38431301
05.1G	Tegeticula synthetica	KramerHills	CA	14/10/2008	CD	14/10/2008	11	CD	3.516628734
05.2A	Tegeticula synthetica	KramerHills	CA	14/10/2008	CD	14/10/2008	12	CD	4.323056221
05.146A	Tegeticula synthetica	LancasterPalmdale	CA	20/10/2008	CD	21/10/2008	54	WG	3.679913621
7.1454	Tegeticula synthetica	MontezumaPk	NV	20/10/2008	CD	20/10/2008	51	WG	3.790123481
6.199	Tegeticula synthetica	NevTestSite	NV	23/10/2008	CD	23/10/2008	78	WG	3.733540953
6.202	Tegeticula synthetica	NevTestSite	NV	23/10/2008	CD	23/10/2008	82	WG	3.556707507
6.208	Tegeticula synthetica	NevTestSite	NV	22/10/2008	CD	23/10/2008	66	CD	3.752955833
6.217	Tegeticula synthetica	NevTestSite	NV	22/10/2008	CD	23/10/2008	67	CD	3.602032809
6.209	Tegeticula synthetica	NevTestSiteII	NV	20/10/2008	CD	15/10/2008	46	CD	3.942415256
6.222	Tegeticula synthetica	NevTestSiteII	NV	20/10/2008	CD	20/10/2008	48	WG	3.953585838
6.22	Tegeticula synthetica	NevTestSiteII	NV	22/10/2008	CD	23/10/2008	63	CD	3.66147006
05.140A	Tegeticula synthetica	SanAndreas	CA	22/10/2008	CD	23/10/2008	59	CD	4.139584439
05.147A	Tegeticula synthetica	SanAndreas	CA	20/10/2008	CD	21/10/2008	57	WG	3.83537314
5.151	Tegeticula synthetica	SanAndreas	CA	20/10/2008	CD	15/10/2008	47	CD	3.828297958
07.1448A	Tegeticula synthetica	TikabooValley	NV	23/10/2008	CD	23/10/2008	83	WG	3.777706901
07.1448B	Tegeticula synthetica	TikabooValley	NV	24/10/2008	CD	24/10/2008	89	WG	3.919311835
07.1452A	Tegeticula synthetica	TikabooValley	NV	23/10/2008	CD	23/10/2008	75	WG	2.844712005
07.1452B	Tegeticula synthetica	TikabooValley	NV	24/10/2008	CD	24/10/2008	90	WG	3.597627332
07.1457A	Tegeticula synthetica	TikabooValley	NV	20/10/2008	CD	15/10/2008	45	CD	3.830949684
07.1457B	Tegeticula synthetica	TikabooValley	NV	24/10/2008	CD	24/10/2008	91	WG	3.579463101
6.223	Tegeticula synthetica	TVSouth	NV	23/10/2008	CD	23/10/2008	74	WG	3.430636719
05.145A	Tegeticula synthetica	Trona	CA	22/10/2008	CD	23/10/2008	71	CD	3.686128331
05.40B	Tegeticula synthetica	Trona	CA	20/10/2008	CD	21/10/2008	53	WG	
05.49B	Tegeticula synthetica	JoshuaTree	CA	23/10/2008	CD	24/10/2008	85	CD	3.90624832
6.211	Tegeticula synthetica	JoshuaTree	CA	22/10/2008	CD	23/10/2008	61	CD	3.666756734
07.1446A	Tegeticula syn/anti	TikabooValley	NV	23/10/2008	CD	23/10/2008	72	WG	3.795073925
07.1446B	Tegeticula syn/anti	TikabooValley	NV	24/10/2008	CD	24/10/2008	92	WG	3.859965365
