yudata total ssrdata
449	21	7	2	2
Da
Ning
Ding
Wan
VH
CP
NP
MH
ML
Tai
CS
TNP
KT
DAL
HB
Wu
CH
ST
SNP
CI
JA
Pop	Ind	SSR01(F38)	SSR02(F411)	SSR03(F398)	SSR04(F436)	SSR05(FH3)	SSR06(FH10)	SSR07(FH47)	
1	DP1	1919	3134	3335	1519	0710	1923	0107
1	DP2	3535	3134	2329	00	1016	2121	0710
1	DP3	0507	3134	2527	00	0710	2331	0710
1	DP4	0505	3437	3333	00	1316	2131	1316
1	DP5	1317	2831	2729	00	1016	3133	0713
1	DP6	1525	3437	1919	00	1619	2331	1013
1	DP7	1517	1331	2327	1919	1016	3133	1016
1	DP8	1717	2834	2333	00	1016	2131	1316
2	ND1	1111	3134	2327	00	1016	2329	1313
2	ND2	1111	00	00	00	1013	2331	1019
2	ND3	00	00	00	00	1316	00	1616
2	ND4	1117	3134	2527	00	1316	1317	1616
2	ND5	1127	310	2329	00	1619	1521	0407
2	ND6	1117	3134	00	00	1316	1721	1010
2	ND7	00	3437	00	00	1010	1521	1013
2	ND8	1515	3740	00	00	1016	1525	1013
2	ND9	00	3437	2323	0915	1016	1521	1013
2	ND10	2141	3740	2729	00	1016	2123	00
2	ND11	00	3437	00	00	0713	00	00
2	ND-21	0911	2834	3133	2020	1619	1321	1619
2	ND-22	1517	1922	2329	2020	1010	2331	1313
2	ND-23	1113	3434	00	00	1016	1921	0713
2	ND-24	2525	3434	2935	2027	1010	2325	1319
2	ND-25	0103	3134	00	00	0710	1921	0713
2	ND-26	1925	3137	2327	1931	0716	1923	1313
2	ND-27	1113	2243	00	2020	0419	2123	1313
2	ND-28	1317	2237	2733	2025	1616	1719	0713
3	DA1	3333	1934	1719	00	1010	3537	1313
3	DA2	1125	3134	3131	1919	0710	2121	0710
3	DA3	2537	3137	3131	00	0710	2129	0710
3	DA4	3539	3134	2733	1317	1016	1521	1013
3	DA5	3357	2531	1717	00	1010	2137	1013
3	DA6	1119	3134	2929	1515	1016	1521	1013
3	DA7	1137	2834	3133	1719	0710	2529	1013
3	DA8	3333	2531	1919	00	1010	3755	0713
3	DA9	2735	3434	2333	00	1010	2121	1013
3	DA10	3333	2531	1919	00	1013	3755	1313
3	DA11	1119	2234	3141	2025	1025	2123	1016
3	DA12	1119	2834	1919	1315	1025	2125	1016
3	DA13	1127	3134	3333	1115	0719	2121	1013
3	DA14	1111	2837	4949	00	0710	2129	0713
3	DA15	1119	1031	4747	00	0710	2129	0713
