yudata total ssrdata																																						
449	21		7	2	2																																	
Da																																						
Ning																																						
Ding																																						
Wan																																						
VH																																						
CP																																						
NP																																						
MH																																						
ML																																						
Tai																																						
CS																																						
TNP																																						
KT																																						
DAL																																						
HB																																						
Wu																																						
CH																																						
ST																																						
SNP																																						
CI																																						
JA																																						
SITE	CODE	SSR01(F38)		SSR02(F411)		SSR03(F398)		SSR04(F436)		SSR05(FH3)		SSR06(FH10)		SSR07(FH47)																								
1	DP1	19	19	31	34	33	35	15	19	7	10	19	23	1	7																							
1	DP2	35	35	31	34	23	29	0	0	10	16	21	21	7	10																							
1	DP3	5	7	31	34	25	27	0	0	7	10	23	31	7	10																							
1	DP4	5	5	34	37	33	33	0	0	13	16	21	31	13	16																							
1	DP5	13	17	28	31	27	29	0	0	10	16	31	33	7	13																							
1	DP6	15	25	34	37	19	19	0	0	16	19	23	31	10	13																							
1	DP7	15	17	13	31	23	27	19	19	10	16	31	33	10	16																							
1	DP8	17	17	28	34	23	33	0	0	10	16	21	31	13	16																							
2	ND1	11	11	31	34	23	27	0	0	10	16	23	29	13	13																							
2	ND2	11	11	0	0	0	0	0	0	10	13	23	31	10	19																							
2	ND3	0	0	0	0	0	0	0	0	13	16	0	0	16	16																							
2	ND4	11	17	31	34	25	27	0	0	13	16	13	17	16	16																							
2	ND5	11	27	31	297	23	29	0	0	16	19	15	21	4	7																							
2	ND6	11	17	31	34	0	0	0	0	13	16	17	21	10	10																							
2	ND7	0	0	34	37	0	0	0	0	10	10	15	21	10	13																							
2	ND8	15	15	37	40	0	0	0	0	10	16	15	25	10	13																							
2	ND9	0	0	34	37	23	23	9	15	10	16	15	21	10	13																							
2	ND10	21	41	37	40	27	29	0	0	10	16	21	23	0	0																							
2	ND11	0	0	34	37	0	0	0	0	7	13	0	0	0	0																							
2	ND-21	9	11	28	34	31	33	20	20	16	19	13	21	16	19																							
2	ND-22	15	17	19	22	23	29	20	20	10	10	23	31	13	13																							
2	ND-23	11	13	34	34	0	0	0	0	10	16	19	21	7	13																							
2	ND-24	25	25	34	34	29	35	20	27	10	10	23	25	13	19																							
2	ND-25	1	3	31	34	0	0	0	0	7	10	19	21	7	13																							
2	ND-26	19	25	31	37	23	27	19	31	7	16	19	23	13	13																							
2	ND-27	11	13	22	43	0	0	20	20	4	19	21	23	13	13																							
2	ND-28	13	17	22	37	27	33	20	25	16	16	17	19	7	13																							
3	DA1	33	33	19	34	17	19	0	0	10	10	35	37	13	13																							
3	DA2	11	25	31	34	31	31	19	19	7	10	21	21	7	10																							
3	DA3	25	37	31	37	31	31	0	0	7	10	21	29	7	10																							
3	DA4	35	39	31	34	27	33	13	17	10	16	15	21	10	13																							
3	DA5	33	57	25	31	17	17	0	0	10	10	21	37	10	13																							
3	DA6	11	19	31	34	29	29	15	15	10	16	15	21	10	13																							
3	DA7	11	37	28	34	31	33	17	19	7	10	25	29	10	13																							
3	DA8	33	33	25	31	19	19	0	0	10	10	37	55	7	13																							
3	DA9	27	35	34	34	23	33	0	0	10	10	21	21	10	13																							
3	DA10	33	33	25	31	19	19	0	0	10	13	37	55	13	13																							
3	DA11	11	19	22	34	31	41	20	25	10	25	21	23	10	16																							
3	DA12	11	19	28	34	19	19	13	15	10	25	21	25	10	16																							
3	DA13	11	27	31	34	33	33	11	15	7	19	21	21	10	13																							
3	DA14	11	11	28	37	49	49	0	0	7	10	21	29	7	13																							
3	DA15	11	19	10	31	47	47	0	0	7	10	21	29	7	13																							
3	DA16	11	13	31	34	25	33	0	0	7	7	21	29	7	10																							
3	DA17	13	45	28	34	19	19	0	0	7	10	15	21	10	16																							
3	DA18	19	33	16	40	0	0	0	0	10	10	15	21	10	13																							
3	DA19	11	39	31	31	0	0	15	15	10	13	15	21	7	10																							
3	DA20	11	19	22	34	0	0	0	0	7	10	21	25	10	16																							
3	DA21	11	19	10	31	0	0	15	17	7	10	21	29	7	13																							
3	DA22	33	33	13	34	0	0	0	0	10	16	15	21	7	10																							
3	DA23	11	19	10	31	0	0	0	0	10	10	21	31	10	13																							
3	DA24	11	19	10	31	0	0	0	0	7	10	21	29	7	13																							
4	WN1	37	47	31	34	31	33	19	25	7	10	21	31	7	10																							
4	WN2	11	33	31	34	31	31	17	20	10	19	21	21	10	16																							
4	WN3	15	47	31	34	29	31	17	17	10	10	21	29	13	16																							
4	WN4	13	39	31	31	23	33	17	19	7	10	31	31	7	13																							
4	WN5	37	47	31	34	31	33	19	25	7	10	21	31	7	10																							
4	WN6	31	41	28	34	31	45	17	19	10	22	29	29	7	10																							
4	WN7	3	11	28	31	31	31	15	19	7	10	25	31	10	13																							
4	WN8	13	43	28	34	31	31	23	25	10	10	21	21	10	16																							
4	WN9	39	61	28	34	25	25	20	25	1	10	21	31	7	10																							
4	WN10	11	21	34	37	31	33	19	23	1	10	21	31	7	13																							
4	WN11	39	41	34	37	33	45	19	25	10	10	21	21	10	13																							
4	WN12	35	47	34	34	23	31	20	25	10	10	21	21	10	16																							
4	WN13	0	0	28	34	31	31	20	23	1	16	21	21	10	13																							
4	WN14	15	35	25	34	23	33	25	25	10	25	21	29	7	16																							
4	WN15	13	13	31	31	47	47	19	19	25	25	31	31	13	13																							
4	WN16	37	39	28	31	31	31	19	19	10	10	29	29	10	13																							
4	WN17	39	61	34	37	31	47	20	25	1	10	21	21	10	10																							
4	WN18	11	37	31	34	31	31	17	19	7	13	21	31	10	10																							
4	WN19	19	19	28	34	31	45	19	20	10	10	21	21	13	16																							
4	WN20	11	11	28	34	31	31	20	23	16	16	21	21	10	13																							
4	WN21	13	43	28	34	31	31	23	25	10	25	21	21	10	16																							
4	WN22	11	39	31	34	45	45	17	23	10	10	21	21	10	13																							
4	WN23	11	27	28	34	25	45	19	23	10	16	25	25	7	10																							
4	WN24	11	33	31	34	31	31	17	20	10	19	21	21	10	16																							
4	WN25	0	0	0	0	0	0	19	19	7	10	25	31	10	13																							
5	YY1	21	21	31	34	0	0	19	20	10	10	21	21	10	13																							
5	YY2	0	0	31	34	23	23	20	20	0	0	0	0	0	0																							
5	YY3	0	0	7	34	23	39	19	20	0	0	0	0	0	0																							
5	YY4	0	0	28	31	0	0	19	23	10	10	21	31	13	16																							
5	YY5	0	0	34	37	25	25	20	23	0	0	0	0	0	0																							
5	YY6	0	0	22	40	0	0	0	0	0	0	0	0	0	0																							
5	YY7	0	0	34	40	23	23	0	0	0	0	0	0	0	0																							
5	YY8	0	0	22	34	23	23	0	0	0	0	0	0	0	0																							
5	YY9	9	9	34	40	31	31	15	25	10	10	21	35	13	16																							
5	YY10	15	15	19	34	29	29	20	25	10	16	21	31	13	22																							
5	YY11	3	9	25	28	27	27	17	23	10	10	21	27	10	10																							
5	YY12	0	0	31	34	23	23	0	0	0	0	0	0	0	0																							
5	YY13	0	0	31	46	19	27	25	25	10	10	37	37	13	13																							
5	YY14	0	0	10	37	23	23	0	0	0	0	0	0	0	0																							
5	YY15	0	0	28	31	25	25	0	0	0	0	0	0	0	0																							
5	YY16	0	0	22	28	31	31	15	17	7	10	27	27	16	19																							
