Clade1 genetic diversity																			
568	30	9	2	3															
Ning																			
sha																			
Sui																			
Xiang																			
Huo																			
DHS																			
Hu																			
Sand																			
Nan																			
Ding																			
Wan																			
VH																			
CP																			
NP																			
MH																			
ML																			
Tai																			
CS																			
QMS																			
TNP																			
HB																			
SNP																			
DAL																			
KT																			
Wu																			
CI																			
JA																			
CH																			
ST																			
JP																			
Pop	Ind	SSR1_1-78_		SSR2_1-141_		SSR3_A34_		SSR4_C25_		SSR5(A99)		SSR6_B30_		SSR7_A80_		SSR8_F17_		SSR9_H33_	
1	ND1	19	19	115	115	53	65	43	43	27	27	21	21	47	49	15	25	7	9
1	ND2	19	21	115	125	53	55	43	43	27	27	21	21	49	49	23	25	11	11
1	ND3	19	19	119	119	55	69	41	45	27	27	21	21	51	53	25	25	9	11
1	ND4	17	19	115	117	63	65	43	43	27	27	21	21	47	53	17	17	7	11
1	ND5	19	19	115	119	63	65	43	43	27	27	21	21	47	51	25	25	7	11
1	ND6	19	19	111	115	55	57	43	43	25	27	21	21	53	53	15	27	7	7
1	ND7	19	19	111	117	55	63	39	43	27	27	21	21	49	55	15	15	7	9
1	ND8	19	19	115	115	51	55	43	43	27	29	21	21	51	51	15	17	11	11
1	ND9	19	19	113	117	55	65	43	43	27	27	21	21	51	51	17	25	7	7
1	ND10	19	19	97	105	37	37	43	43	27	27	21	21	51	53	15	15	7	9
1	ND11	19	19	111	119	55	63	43	43	23	27	21	21	51	51	17	25	7	7
1	ND12	19	19	111	117	55	69	43	43	27	29	21	21	47	53	15	15	7	9
1	ND13	19	19	115	117	55	67	43	43	23	27	21	21	47	49	15	15	7	11
1	ND14	19	19	117	123	63	69	43	43	25	25	21	21	49	55	15	25	7	7
1	ND15	17	19	117	117	57	57	41	43	23	27	21	21	51	55	15	17	7	11
1	ND16	19	19	115	119	63	69	43	43	21	27	21	21	47	53	25	25	7	11
1	ND17	19	19	115	125	63	63	43	43	25	27	21	21	47	49	17	27	9	11
1	ND18	21	21	111	115	61	69	41	43	27	27	21	21	49	55	15	25	5	5
1	ND19	19	19	99	111	57	61	43	43	21	27	21	21	51	55	17	25	11	11
1	ND20	19	19	115	117	55	55	43	47	23	27	21	21	49	49	15	15	7	11
2	sha1	19	19	115	115	55	55	41	41	23	27	21	21	49	51	17	17	9	9
2	sha2	21	21	0	0	55	55	41	41	27	27	21	21	47	47	17	25	7	7
2	sha3	19	19	129	131	55	55	41	41	21	27	21	21	49	49	15	15	7	11
2	sha4	19	19	117	119	53	55	41	41	27	27	21	21	47	51	15	15	11	11
2	sha5	19	19	115	115	55	55	41	41	27	27	21	21	53	55	15	25	7	9
2	sha6	21	21	113	115	55	63	41	41	27	27	21	21	53	53	41	43	7	7
2	sha7	21	21	113	115	55	55	41	41	25	27	21	21	47	51	23	25	9	11
2	sha8	19	21	113	115	53	55	41	41	25	27	21	21	51	53	25	37	9	11
2	sha9	19	21	113	121	55	57	41	41	23	27	21	21	49	53	15	15	7	9
2	sha10	19	19	0	0	55	55	41	41	21	29	21	21	49	51	17	17	7	11
2	sha11	19	19	115	119	55	55	41	41	25	27	21	21	49	51	15	25	11	11
2	sha12	19	19	117	119	69	69	41	41	23	27	21	21	55	55	17	17	7	7
2	sha13	19	21	115	117	69	69	41	41	25	27	21	21	51	51	17	17	11	11
2	sha14	21	21	115	117	55	57	41	41	25	27	21	21	45	47	17	25	7	7
2	sha15	21	21	115	119	55	57	41	41	29	29	21	21	45	47	17	25	7	7
2	sha16	17	19	117	121	61	65	43	43	21	27	21	21	53	55	17	27	7	11
2	sha17	17	19	111	117	53	55	41	43	23	27	21	21	49	51	15	15	11	11
2	sha18	19	19	115	119	55	63	43	43	27	27	21	21	51	55	17	27	9	11
2	sha19	19	19	117	119	55	71	43	43	27	27	21	21	53	53	27	27	7	11
2	sha20	19	19	111	117	55	59	43	43	27	27	21	21	51	55	15	15	7	7
2	sha21	19	19	107	117	63	63	43	43	25	27	21	21	47	47	15	15	9	9
2	sha22	21	21	115	117	55	55	43	43	23	27	21	21	45	47	27	29	7	9
2	sha23	19	19	117	117	55	55	43	43	27	27	21	21	47	51	15	15	11	11
2	sha24	19	19	105	117	55	55	43	43	27	27	21	21	47	51	15	15	7	9
2	sha25	19	19	117	117	55	55	41	47	27	27	21	21	49	49	15	15	9	9
2	sha26	19	21	115	117	67	67	43	43	25	27	21	21	55	55	15	15	7	9
2	sha27	19	19	111	111	55	55	43	43	27	27	21	21	51	51	17	17	11	11
3	JX1	21	21	115	119	61	61	45	45	23	27	21	21	51	51	0	0	9	9
3	JX2	17	19	117	119	55	55	43	43	0	0	21	21	51	53	17	17	7	9
3	JX3	19	19	117	119	53	55	43	43	27	27	21	21	51	53	17	27	9	9
3	JX4	19	19	97	115	55	57	43	43	25	27	21	21	53	53	17	27	7	11
3	JX5	19	19	97	97	57	57	37	41	27	27	21	21	49	49	17	17	11	11
3	JX6	19	19	115	119	57	61	43	43	0	0	21	21	53	53	27	27	11	11
3	JX7	19	19	117	119	57	57	41	43	21	27	21	21	51	51	17	17	9	9
3	JX8	19	19	131	133	57	57	43	43	21	27	21	21	53	53	17	17	7	7
3	JX9	21	21	105	111	55	63	43	43	23	23	21	21	51	53	17	21	7	13
3	JX10	17	19	117	117	55	59	43	47	23	27	21	21	53	53	17	17	7	9
3	JX11	17	17	111	111	59	59	43	43	23	23	21	21	45	45	19	19	5	5
3	JX12	19	19	117	119	53	55	43	43	25	27	21	21	51	51	17	17	7	7
3	JX13	19	19	117	117	61	61	43	45	27	27	21	21	51	51	19	19	9	9
3	JX14	19	19	135	137	55	55	43	43	27	27	21	21	53	53	27	27	9	9
3	JX15	19	19	97	117	59	61	43	47	27	27	21	23	51	53	27	27	7	11
3	JX16	17	21	119	121	55	55	43	43	27	29	21	21	53	53	15	15	9	11
3	JX17	19	19	119	121	57	59	43	43	23	27	21	21	51	51	17	17	9	9
3	JX18	19	19	117	119	55	57	43	43	27	27	21	21	51	51	17	25	11	11
3	JX19	19	19	125	127	65	65	43	43	25	25	21	21	49	51	17	25	5	9
3	JX20	19	19	121	123	59	59	43	43	27	27	21	21	51	51	17	17	9	11
4	XG1	21	25	115	115	59	61	43	43	27	27	21	21	47	51	15	15	7	7
4	XG2	19	19	119	119	57	57	43	43	27	27	21	21	47	51	17	17	7	7
4	XG3	19	19	107	107	57	57	43	43	23	23	21	21	49	51	15	15	11	11
4	XG4	19	19	119	125	55	55	43	43	27	27	21	21	51	51	17	17	7	7
4	XG5	19	19	115	115	57	57	43	43	23	23	21	21	53	53	25	25	7	13
4	XG6	19	19	129	129	59	65	43	43	27	27	21	23	55	61	17	17	9	9
4	XG7	19	19	105	105	59	59	43	43	27	27	21	21	47	53	15	15	7	7
4	XG8	17	19	115	115	55	55	43	43	23	27	21	21	51	53	15	15	7	9
4	XG9	19	19	115	115	57	57	43	43	23	27	21	21	51	59	15	15	7	7
4	XG10	19	19	121	121	57	61	41	43	25	27	21	21	49	51	15	15	7	11
4	XG11	19	19	115	117	57	57	39	39	27	29	19	19	51	53	15	15	7	7
4	XG12	19	21	97	97	57	57	43	43	27	27	21	21	49	49	15	15	9	11
4	XG13	19	21	115	115	67	67	43	43	27	27	21	21	53	53	15	15	7	9
4	XG14	19	19	119	119	57	57	43	43	27	27	21	21	47	49	15	15	9	9
4	XG15	19	19	99	115	55	55	43	43	27	27	21	21	51	51	13	13	9	9
4	XG16	19	19	115	133	55	59	43	43	27	27	21	21	53	53	17	17	11	11
5	ZWY1	17	17	115	115	55	61	41	41	25	27	21	21	53	53	17	41	9	9
5	ZWY2	19	19	109	115	57	57	43	43	25	27	21	21	53	53	15	41	7	11
5	ZWY3	19	19	131	131	55	55	37	43	23	25	21	21	57	57	17	17	7	9
5	ZWY4	19	19	115	123	57	67	43	43	27	29	21	21	53	53	17	17	11	11
5	ZWY5	19	19	119	119	55	55	39	43	25	25	21	21	53	53	15	15	9	9
5	ZWY6	19	19	117	117	55	55	41	43	23	23	21	21	53	53	15	15	41	47
5	ZWY7	17	17	117	117	53	57	39	39	25	27	21	21	53	55	17	27	7	9
5	ZWY8	7	15	93	113	0	0	43	43	1	1	11	11	45	49	31	31	47	47
5	ZWY9	19	19	109	109	59	59	43	43	27	27	21	21	51	51	17	17	7	7
5	ZWY10	17	19	97	105	55	57	41	43	27	27	21	23	53	57	15	41	9	9
5	ZWY11	19	19	101	119	57	59	37	41	27	27	21	21	53	57	15	27	7	7
5	ZWY12	21	198	117	117	61	63	41	41	27	29	21	21	53	53	13	25	11	11
5	ZWY13	19	19	117	129	59	61	37	37	27	27	21	21	53	53	17	29	9	9
5	ZWY14	19	19	127	127	57	57	43	43	27	29	21	21	53	53	15	15	7	7
5	ZWY15	19	21	97	119	55	55	39	39	27	31	21	21	53	53	17	27	7	11
6	DHS1	21	21	121	123	49	53	41	43	25	27	21	21	53	53	17	17	7	9
6	DHS2	19	19	109	109	55	57	37	37	27	27	21	21	51	51	15	15	7	11
6	DHS3	19	23	121	123	53	57	43	43	27	27	21	21	51	51	15	15	7	7
6	DHS4	19	19	105	119	59	69	41	43	27	27	21	21	51	51	15	17	9	9
6	DHS5	19	19	117	119	55	55	39	43	21	21	21	21	51	55	15	15	7	7
6	DHS6	19	21	115	127	37	53	37	41	25	29	21	21	51	51	15	15	7	7
6	DHS7	19	21	117	119	49	69	39	41	25	27	21	21	51	51	15	15	7	11
6	DHS8	17	17	121	127	53	55	39	43	27	27	21	23	55	55	15	15	7	11
6	DHS9	19	19	119	119	57	57	39	39	27	27	21	21	53	53	17	17	9	9
6	DHS10	19	19	119	119	55	59	39	41	27	27	21	21	49	51	15	15	7	11
6	DHS11	17	19	119	125	53	69	41	43	27	27	21	21	51	51	15	15	7	11
