From	To	Fst.plant	Fst.assoc	Gdist
Ning	Ding	0.072345	0.216826	1220.62426368565
Ning	Wan	0.089193	0.257528	1284.23220674613
Ding	Wan	0.04299	0.07393	100.653197091153
Ning	VH	0.025938	0.291817	1531.89440562596
Ding	VH	0.062582	0.293791	532.496937717311
Wan	VH	0.054979	0.394577	584.072518545259
Ning	CP	0.034005	0.325691	1581.557576718
Ding	CP	0.085389	0.308636	486.917514859155
Wan	CP	0.065909	0.407105	517.018058205193
VH	CP	0.012203	0.039968	135.832470042407
Ning	NP	0.065421	0.237355	1697.21251689848
Ding	NP	0.074011	0.232982	485.198584293481
Wan	NP	0.07954	0.330211	452.509967853215
VH	NP	0.042203	-0.00107	439.493873345779
CP	NP	0.054962	0.020312	304.223571742654
Ning	MH	0.050541	0.503004	2004.06979516109
Ding	MH	0.074833	0.439287	1058.41543436971
Wan	MH	0.079684	0.494089	1095.87472348835
VH	MH	0.02965	0.454579	533.639803830657
CP	MH	0.060627	0.469843	579.186090452984
NP	MH	0.054129	0.404953	785.001385156284
Ning	ML	0.040726	0.549712	1920.64193464865
Ding	ML	0.056697	0.480449	938.570718189708
Wan	ML	0.055123	0.531266	973.149253922314
VH	ML	0.017005	0.507109	421.00698447711
CP	ML	0.047395	0.525629	456.132299480199
NP	ML	0.038241	0.463754	661.748909207181
MH	ML	0.022996	0.059301	125.302956585077
Ning	CS	0.060262	0.479126	2234.0503412838
Ding	CS	0.05478	0.413665	1144.85279095305
Wan	CS	0.053164	0.463323	1150.59314678883
VH	CS	0.026439	0.434746	702.301506291698
CP	CS	0.066164	0.452975	673.398710299492
NP	CS	0.043082	0.387482	736.556596156729
MH	CS	0.045095	0.032902	364.112388042272
ML	CS	0.008488	0.036591	360.509291894505
Ning	TNP	0.079548	0.461679	2394.70834304242
Ding	TNP	0.101488	0.398451	1247.93782978922
Wan	TNP	0.113424	0.447533	1235.31150765198
VH	TNP	0.076567	0.466326	872.492477061973
CP	TNP	0.096199	0.483369	813.553181165784
NP	TNP	0.069063	0.409122	789.869357401428
MH	TNP	0.057945	0.458584	600.230709022621
ML	TNP	0.047579	0.48567	586.319161427235
CS	TNP	0.046233	0.412837	236.20396869438
Ning	KT	0.098269	0.539031	1833.09104775233
Ding	KT	0.112679	0.463882	643.734493624276
Wan	KT	0.117546	0.529593	559.38559442203
VH	KT	0.044857	0.542387	803.799246050067
CP	KT	0.082584	0.57489	670.582308617227
NP	KT	0.081834	0.493651	369.462376541305
MH	KT	0.056805	0.511028	1125.49700886608
ML	KT	0.043818	0.559676	1007.29635962592
CS	KT	0.079434	0.455121	995.019897356492
TNP	KT	0.086755	0.352682	967.169992630376
Ning	DAL	0.128043	0.451704	2008.21489466631
Ding	DAL	0.168509	0.369176	871.526546608996
Wan	DAL	0.18144	0.432652	777.488549952209
VH	DAL	0.079668	0.457863	1071.51939320245
CP	DAL	0.114019	0.463796	937.740150485817
NP	DAL	0.134947	0.377535	634.836051479874
MH	DAL	0.100851	0.402125	1364.77606542471
ML	DAL	0.088937	0.458031	1251.27011041074
CS	DAL	0.116339	0.371484	1190.22156692591
TNP	DAL	0.136948	0.330271	1117.90316720905
Ning	HB	0.147873	0.456513	1959.57040348858
Ding	HB	0.184854	0.373571	845.326532374753
Wan	HB	0.185151	0.426626	748.63496411885
VH	HB	0.075461	0.464088	1081.81685203043
CP	HB	0.121336	0.473079	950.053967452904
NP	HB	0.154589	0.39732	651.001275702098
MH	HB	0.122677	0.376024	1399.84667384777
ML	HB	0.112715	0.418502	1283.88871459352
CS	HB	0.119441	0.332876	1239.99212041303
TNP	HB	0.166836	0.377275	1176.85387529681
Ning	Wu	0.073234	0.462203	2012.94390550838
Ding	Wu	0.146415	0.406648	794.524162226046
Wan	Wu	0.15681	0.450041	729.761622973948
VH	Wu	0.071201	0.478479	782.635026062382
CP	Wu	0.072438	0.504963	648.486090244827
NP	Wu	0.097138	0.413663	366.260430330877
MH	Wu	0.061421	0.408995	981.601321773982
ML	Wu	0.068178	0.458556	875.14552879013
CS	Wu	0.101107	0.366496	789.008499011024
TNP	Wu	0.115635	0.339055	728.407148960128
KT	Wu	0.041357	0.109817	255.15524189559
DAL	Wu	0.040615	0.104646	401.213613078816
HB	Wu	0.079514	0.263007	453.090108302142
Ning	CH	0.141658	0.41041	2389.66725375531
Ding	CH	0.173938	0.374904	1169.16882294679
Wan	CH	0.180969	0.422741	1112.5980715298
VH	CH	0.123337	0.423538	1036.1494467227
CP	CH	0.116721	0.45493	917.528050022612
NP	CH	0.159103	0.352223	700.546452180941
MH	CH	0.141662	0.449435	1039.51533454181
ML	CH	0.122159	0.492656	967.394681554091
CS	CH	0.148946	0.415887	731.457940966421
TNP	CH	0.172208	0.329716	561.516116316665
KT	CH	0.062764	0.344605	630.262132225281
DAL	CH	0.051895	0.302405	660.219029708268
HB	CH	0.11472	0.378473	730.532777486531
Wu	CH	0.052806	0.248579	390.764812419356
Ning	ST	0.181333	0.40518	2999.76700184666
Ding	ST	0.250918	0.336618	1784.7829516135
Wan	ST	0.27284	0.383008	1715.70532225979
VH	ST	0.205486	0.421322	1684.25750601783
CP	ST	0.234129	0.439389	1566.73560779567
NP	ST	0.199818	0.355154	1338.22816425136
MH	ST	0.216528	0.410381	1617.8836612054
ML	ST	0.199129	0.447969	1569.27332499536
CS	ST	0.213884	0.367564	1266.21034011278
TNP	ST	0.206031	0.338816	1039.84525324946
KT	ST	0.172459	0.344331	1174.37509185107
DAL	ST	0.229697	0.335021	1068.15919322246
HB	ST	0.301972	0.32328	1136.3619841736
Wu	ST	0.188383	0.327268	990.825583809303
CH	ST	0.235864	0.340462	649.214704274695
Ning	SNP	0.226728	0.422288	3542.79713633705
Ding	SNP	0.174619	0.418019	2444.63788447249
Wan	SNP	0.172877	0.488847	2351.19793858788
VH	SNP	0.20175	0.335146	2543.15844737953
CP	SNP	0.198338	0.34602	2409.64392117296
NP	SNP	0.180635	0.268998	2120.75097073448
MH	SNP	0.19916	0.507292	2618.62780919919
ML	SNP	0.185709	0.561314	2545.95578308399
CS	SNP	0.192212	0.481848	2293.33645332777
TNP	SNP	0.20771	0.52928	2084.700754141
HB	SNP	0.291362	0.525804	1606.83055169081
Ning	CI	0.177505	0.522114	3950.3035338709
Ding	CI	0.18149	0.447381	2950.49854330281
Wan	CI	0.196093	0.491771	2852.0554070148
VH	CI	0.108975	0.5344	3123.11128978204
CP	CI	0.139635	0.560034	2987.52859880204
NP	CI	0.161501	0.485225	2688.22298100206
MH	CI	0.141894	0.548558	3250.20410642915
ML	CI	0.140434	0.581764	3169.49751729213
CS	CI	0.131876	0.509028	2937.63622813809
TNP	CI	0.198995	0.438447	2736.59102159286
KT	CI	0.098369	0.481283	2349.21455459995
DAL	CI	0.074729	0.400067	2090.27165444521
HB	CI	0.053554	0.473762	2107.11834166946
Wu	CI	0.116664	0.332995	2344.08055064443
SNP	CI	0.27415	0.600988	667.000641751774
Ning	JA	0.175404	0.481927	3924.95351317101
Ding	JA	0.171651	0.403918	2926.89392205601
Wan	JA	0.185411	0.455399	2828.37184555397
VH	JA	0.118042	0.490576	3101.69883772471
CP	JA	0.150347	0.514956	2966.07689556933
NP	JA	0.145314	0.435927	2666.4897800845
MH	JA	0.157721	0.512684	3231.57202203168
ML	JA	0.133822	0.54994	3150.31329358758
CS	JA	0.119421	0.470896	2920.18203123136
TNP	JA	0.175669	0.403438	2720.0278487956
KT	JA	0.101232	0.454694	2326.67615068233
DAL	JA	0.101735	0.35495	2067.33692585538
HB	JA	0.09424	0.43881	2083.78246986936
Wu	JA	0.133438	0.321314	2323.1083075876
SNP	JA	0.245823	0.563444	654.745064324716
CI	JA	0.045576	0.051376	25.9110293638062
