Site	Lat 	Lon
Ning	26.66417	119.5489
Sha	26.41858	117.81847
Sui	26.47639	114.23917
Xiang	22.42444	114.30639
Huo	23.17031	113.37267
DHS	23.16638	112.54278
Hu	25.57083	111.9456
Sand	25.98356	107.87428
Nan	22.78659	108.38871
Ding	19.69722	110.3283
Wan	18.795	110.3908
VH	21.467	105.581
CP	20.253	105.712
NP	17.579	106.308
MH	21.979444	100.450278
ML	21.446667	101.5175
Tai 	18.8938	98.8575
QMS	18.809444	98.913889
CS	18.840333	99.47
TNP	16.7823	98.927817
HB	12.247817	108.796083
SNP	-1.31248	103.8164
DAL	12.156944	108.136667
KT	14.516633	107.639283
Wu	14.442833	105.2733
CI	-6.56557	106.705833
JA	-6.368	106.829667
CH	12.7743	102.0957
ST	7.4674	99.6386
JP	11.35306	104.154722
