"Meta"	"Pair"	"test"	"n"	"obs.cor"	"Intxn.type"	"Assoc.type"	"lo.95"	"up.95"	"lo.50"	"up.50"	"plotpos"
"Individual correlations"	"Datura stramonium/Lema trilineata"	"IBD, plant"	6	0.314285714285714	"Antagonism"	"Insect"	-0.8	1	0	0.818181818181818	1
"Individual correlations"	"Datura stramonium/Lema trilineata"	"IBD, assoc."	6	0.885714285714286	"Antagonism"	"Insect"	0	1	0.764705882352941	1	1
"Individual correlations"	"Datura stramonium/Lema trilineata"	"Plant v. assoc."	6	0.657142857142857	"Antagonism"	"Insect"	-0.5	1	0.411764705882353	1	1
"Individual correlations"	"Pinus banksiana/Arceuthobium americanum"	"IBD, plant"	56	0.30436812453846	"Antagonism"	"Microbe"	0.0421965568929782	0.549604266207388	0.222123108739854	0.398097105023262	2
"Individual correlations"	"Pinus banksiana/Arceuthobium americanum"	"IBD, assoc."	56	0.0327030908287427	"Antagonism"	"Microbe"	-0.238642075660279	0.285605414709092	-0.0437713584319721	0.134761093758732	2
"Individual correlations"	"Pinus banksiana/Arceuthobium americanum"	"Plant v. assoc."	56	0.281817139336389	"Antagonism"	"Microbe"	0.00319817858725718	0.517592061194527	0.194126368327588	0.36799965753382	2
"Individual correlations"	"Pinus contorta/Arceuthobium americanum"	"IBD, plant"	39	-0.0580135671698695	"Antagonism"	"Microbe"	-0.360706930794696	0.26505766933931	-0.166351500295328	0.0572501552071855	3
"Individual correlations"	"Pinus contorta/Arceuthobium americanum"	"IBD, assoc."	39	0.096653337105458	"Antagonism"	"Microbe"	-0.237217462733764	0.432385237847285	-0.0146941751993737	0.212822215201276	3
"Individual correlations"	"Pinus contorta/Arceuthobium americanum"	"Plant v. assoc."	39	0.459162494537678	"Antagonism"	"Microbe"	0.161365940621346	0.699870253361102	0.362611213699865	0.541713124398481	3
"Individual correlations"	"Populus angustifolia/Aceria parapopuli"	"IBD, plant"	45	0.804835469325581	"Antagonism"	"Insect"	0.662949346312227	0.893268261884651	0.760479040156202	0.841119762391879	4
"Individual correlations"	"Populus angustifolia/Aceria parapopuli"	"IBD, assoc."	45	0.332195642984891	"Antagonism"	"Insect"	0.044959824777627	0.576183451581769	0.222662535144466	0.41888077587513	4
"Individual correlations"	"Populus angustifolia/Aceria parapopuli"	"Plant v. assoc."	45	0.48903203654196	"Antagonism"	"Insect"	0.193736964734114	0.707845993042896	0.394529232584829	0.574254471179978	4
"Individual correlations"	"Rhus chinensis/Schlectendalia chinensis"	"IBD, plant"	28	0.178434592227696	"Antagonism"	"Insect"	-0.248958897938743	0.535725830222048	0.0378607423405111	0.310368536853685	5
"Individual correlations"	"Rhus chinensis/Schlectendalia chinensis"	"IBD, assoc."	28	0.19047619047619	"Antagonism"	"Insect"	-0.209498219695479	0.586827815111284	0.059704158746833	0.339749835388161	5
"Individual correlations"	"Rhus chinensis/Schlectendalia chinensis"	"Plant v. assoc."	28	0.0706075533661741	"Antagonism"	"Insect"	-0.344527974486156	0.442571602810709	-0.0939689571011726	0.212267355947003	5
"Individual correlations"	"Ficus hirta/Valisia spp"	"IBD, plant"	159	0.509869835204203	"Mutualism"	"Insect"	0.387445016649665	0.619932288626485	0.467968425550139	0.546667024345888	6
