"Pair"	"n"	"estimate"	"statistic"	"p.value"	"method"	"alternative"	"test"
"Datura stramonium/Lema trilineata"	6	0.314285714285714	24	0.563888888888889	"Spearman's rank correlation rho"	"two.sided"	"IBD, plant"
"Ficus hirta/Valisia spp"	159	0.509869835204203	328348	0	"Spearman's rank correlation rho"	"two.sided"	"IBD, plant"
"Ficus pumila/Wiebesia sp. 1"	351	0.427768756688324	4124185.01679591	4.7608516081478e-17	"Spearman's rank correlation rho"	"two.sided"	"IBD, plant"
"Hirtella physophora/Allmoerus decemarticulatus"	10	0.272727272727273	120	0.448272158936988	"Spearman's rank correlation rho"	"two.sided"	"IBD, plant"
"Lysimachia vulgaris/Macropis europaea"	741	0.210659538266291	53526266	7.66436322317018e-09	"Spearman's rank correlation rho"	"two.sided"	"IBD, plant"
"Lysimachia vulgaris/Macropis fulvipes"	78	0.553636237180541	35298	2.45153345185284e-07	"Spearman's rank correlation rho"	"two.sided"	"IBD, plant"
"Medicago lupulina/Ensifer medicae, E. meliloti"	585	0.365774950224068	21162085.7598656	5.86129614206591e-20	"Spearman's rank correlation rho"	"two.sided"	"IBD, plant"
"Pinus banksiana/Arceuthobium americanum"	56	0.30436812453846	20354.1886760047	0.0225651492750226	"Spearman's rank correlation rho"	"two.sided"	"IBD, plant"
"Pinus contorta/Arceuthobium americanum"	39	-0.0580135671698695	10453.1740436383	0.725736249514659	"Spearman's rank correlation rho"	"two.sided"	"IBD, plant"
"Populus angustifolia/Aceria parapopuli"	45	0.804835469325581	2962.59757563769	2.6847061034454e-11	"Spearman's rank correlation rho"	"two.sided"	"IBD, plant"
"Rhus chinensis/Schlectendalia chinensis"	28	0.178434592227696	3002	0.362031208964465	"Spearman's rank correlation rho"	"two.sided"	"IBD, plant"
"Roridula gorgonius/Pameridea roridulae"	36	0.670264567982925	2562.04430677268	7.74764877296198e-06	"Spearman's rank correlation rho"	"two.sided"	"IBD, plant"
"Silene latifolia/Hadena bicruris"	36	0.257242197636091	5771.22812436757	0.129873412733221	"Spearman's rank correlation rho"	"two.sided"	"IBD, plant"
"Vachellia drepanolobium/Crematogaster nigriceps"	6	-0.0869656553478673	38.0437979371754	0.869880378700103	"Spearman's rank correlation rho"	"two.sided"	"IBD, plant"
"Vachellia drepanolobium/Tetraponera penzigi"	6	-0.0869656553478673	38.0437979371754	0.869880378700103	"Spearman's rank correlation rho"	"two.sided"	"IBD, plant"
"Yucca brevifolia/Tegeticula synthetica"	55	0.441530330705498	15480.7792328436	0.000739565852973628	"Spearman's rank correlation rho"	"two.sided"	"IBD, plant"
"Yucca jaegeriana/Tegeticula antithetica"	91	0.471173753782449	66410	3.22790840718846e-06	"Spearman's rank correlation rho"	"two.sided"	"IBD, plant"
"Datura stramonium/Lema trilineata"	6	0.885714285714286	4	0.0333333333333333	"Spearman's rank correlation rho"	"two.sided"	"IBD, assoc."
